date	duns_product_hits
200606	2
201310	10
200504	1
200501	1
201208	1
201601	23
201603	26
201602	12
201605	10
201604	6
201607	2
201606	11
201609	4
201608	10
201312	2
201403	26
201402	27
201401	24
201407	16
201406	14
201405	25
201404	45
201701	13
201409	37
201408	53
201704	13
201207	3
201508	10
201509	12
201201	1
201703	2
201203	5
201202	4
201502	86
201503	38
201501	3
201506	9
201507	11
201504	93
201505	65
201311	1
201101	1
201109	1
201612	8
201610	16
201611	6
200801	1
201112	3
200903	2
200812	1
201309	6
201006	1
201005	1
201004	1
201410	14
201411	16
201412	7
201206	8
201304	24
201305	20
201306	2
201307	4
201301	51
201302	16
201303	22
201212	4
201308	3
201210	2
201211	9
201511	12
201104	1
201512	12
201702	12
201111	2
