product_id	date	num_prod_hits
VMware (Unspecified Product)	201702	6818
VMware (Unspecified Product)	201703	6487
VMware (Unspecified Product)	201704	3584
Hyland Software OnBase	200103	8
Hyland Software OnBase	200105	10
Hyland Software OnBase	200401	65
Hyland Software OnBase	200502	16
Hyland Software OnBase	200508	25
Microsoft SharePoint	201604	14951
Microsoft SharePoint	201702	10352
Microsoft SharePoint	201703	10158
Microsoft SharePoint	201704	6244
Shoretel	200203	5
Shoretel	200901	167
Shoretel	201509	1073
Shoretel	201701	1215
Shoretel	201704	72
Microsoft Exchange 2007	201001	751
Microsoft Office 365	201606	7866
Microsoft Office 365	201608	5827
Microsoft Office 365	201610	7287
Microsoft Office 365	201612	5289
Microsoft Office 365	201701	8425
Postini	200501	29
Postini	200502	6
Postini	200509	7
Symantec Enterprise Vault	201702	75
Symantec Enterprise Vault	201703	60
Symantec Enterprise Vault	201704	31
Webroot	200002	1
Webroot	200011	1
Webroot	200411	2
Webroot	200501	10
Webroot	200505	3
Infor Baan	200003	94
Accela	200007	1
Accela	200011	2
Accela	200212	4
Accela	200308	2
Accellion	200008	1
Accellion	200012	2
Accellion	200403	1
Accellion	200408	1
Dassault BIOVIA	200203	2
Dassault BIOVIA	200205	2
Dassault BIOVIA	200207	3
Dassault BIOVIA	200309	3
Dassault BIOVIA	200405	3
Dassault BIOVIA	200410	3
Acclaim Software	200004	1
Acclaim Software	200405	1
Acclaim Software	200411	1
Acclaim Software	200510	1
Accruent	200305	10
AceProject	200102	1
AceProject	200505	1
AceProject	200508	1
Nice Actimize	200206	3
Nice Actimize	200307	2
Nice Actimize	201504	386
Actipro	200212	1
Actipro	200502	1
Epicor Activant	200507	8
Epicor Activant	200510	12
ActiveVOS	201203	10
ActiveVOS	201204	10
ActiveVOS	201301	14
ActiveVOS	201302	11
ActiveVOS	201304	11
Adaptec	200007	8
Adaptec	200207	11
Adaptec	200211	8
Adaptec	200510	15
Aderant	200009	6
Aderant	200105	4
Aderant	200502	6
ADInstruments	200405	1
Agresso	200011	6
Agresso	200307	8
Agresso	200403	16
Akamai	200003	7
Akamai	200101	56
Akamai	200110	13
Akamai	200112	22
Aldon	200110	7
Aldon	200209	6
Alexsys	200111	1
Alexsys	200202	1
Alexsys	200204	1
Alexsys	200206	2
Alexsys	200207	1
Alexsys	200302	1
Alexsys	200508	2
Algorithmics	200009	3
Algorithmics	200104	3
Algorithmics	200302	3
Algorithmics	200304	4
Algorithmics	200309	3
Alloy Navigator	200009	1
Alloy Navigator	200102	1
Alloy Navigator	200111	1
Alloy Navigator	200208	1
Alloy Navigator	200211	1
Alloy Navigator	200410	1
Alloy Navigator	200412	2
Amberpoint	200802	20
Amberpoint	200803	22
Spok	200104	6
Spok	200510	10
AMS Storage	200802	2
AMS Storage	200811	2
AMS Storage	201007	5
AMS Storage	201102	5
AMS Storage	201103	6
Anystream	200104	2
Anystream	200307	1
Anystream	200510	2
Anystream	200702	10
HP Aperture Vista	200008	1
HP Aperture Vista	200304	1
HP Aperture Vista	200506	1
Appian	200103	2
Appian	200302	2
Appian	201505	224
Apple OS	201004	740
Apple OS	201005	698
Apple OS	201006	635
Apple OS	201009	727
Apple OS	201102	822
Apple OS	201104	899
Appligent	200401	3
Appligent	200607	1
Applimation	200208	1
Applimation	200401	4
Applimation	200410	2
Applimation	200510	1
Approva	200807	25
Aprimo	201504	360
Arbor Peakflow	200301	2
Arbor Peakflow	200912	7
ARCHIBUS	200001	27
ARCHIBUS	200210	9
ARCHIBUS	200310	8
Arena PLM	200008	1
Arena PLM	200111	1
Arena PLM	200207	1
Arena PLM	200309	2
Arena PLM	200401	7
Arena PLM	200402	1
Arena PLM	200508	2
askSam	200010	1
askSam	200404	1
askSam	200405	1
askSam	200410	1
askSam	200506	1
askSam	200509	2
Aspen Beowulf	200003	4
Aspen Beowulf	200202	4
Aspen Beowulf	200209	4
Aspen Beowulf	200310	6
Aspen Beowulf	200408	7
AssureNET	200010	1
AssureNET	200211	1
AssureNET	200411	1
AssurX	200009	1
AssurX	200301	6
AssurX	200310	1
AssurX	200510	2
AssurX	200511	6
CATSWeb	200009	1
CATSWeb	200510	2
CATSWeb	200511	6
Atex	200111	1
Atex	200308	1
Atex	200410	1
Atex	200411	1
Atrixware	200705	1
Atrixware	200708	1
Atrixware	200810	2
AutomatedQA	200406	5
AutomatedQA	200505	5
AutomatedQA	200510	5
Ivanti Avalanche	200312	1
Ivanti Avalanche	200402	2
Avocent	200202	2
Avocent	200406	4
Avocent	200503	4
Avocent	200509	7
Avtech	200102	1
Avtech	200105	1
Avtech	200204	1
Avtech	200302	1
Avtech	200402	1
Avtech	200408	2
Avtech	200510	2
BCGSoft	200911	1
BCGSoft	201304	3
BCGSoft	201308	3
BCGSoft	201309	5
Bersoft	200304	1
Bersoft	200508	1
BizFlow	200405	2
BizFlow	200411	2
BizFlow	200412	3
Blue Coat	200004	5
Blue Coat	200510	17
Hitachi Bluearc Storage	200005	1
Hitachi Bluearc Storage	200008	1
Hitachi Bluearc Storage	200311	1
Hitachi Bluearc Storage	200410	4
Bomgar	200006	3
Bomgar	201301	203
Bomgar	201701	597
BorderWare	200008	4
BorderWare	200009	2
BorderWare	200111	2
BorderWare	200503	3
BP Logix	200206	1
Brainshark	200002	1
Brainshark	200209	2
Brainshark	201110	62
Bridgeline	200103	1
Bridgeline	200112	1
Bridgeline	200201	5
Bridgeline	200310	1
Bridgeline	200312	2
Bridgeline	200404	1
