unique_id,task_id,product_id,product_name,tag_id,id,is_good,property,value
0,8131,13993,Honeywell,142,5573,0,description,"This position will provide sourcing expertise for SourceRight RPO account. Requires a wide degree of critical and creative thinking and focus primarily on locating passive candidates and developing relationships with them for future client needs. This position will also work with leads generated by Sourcing Specialists to develop candidates. RESPONSIBILITIES: Client Responsibilities: - Client relationship as needed to develop sales GP/Revenue Responsibility: - Personal GP quota responsibility Freedom to Act/Accountability: - Guidance given: Assignments are received in objective oriented terms. Receives guidance based on organizational goals and company policy. Work is reviewed in terms of meeting the organizations objectives and schedules - Policy involvement: Follows operating policies. Follows organizational policies Supervisory/Relationship: - Accomplishes results through combined effort of team. Follows the structure of organizational units or a centralized functional activity. Direct Work Involvement/Complexity: - Responsible for completion of all projects assigned to team. Help meet established schedules or resolved technical or operational problems. Follows centralized functional projects - Mining and reviewing resumes while using sources such as Usenet and blogs to find passive candidates - Utilizing advanced search techniques for sourcing both passive and active candidates including Site flipping and x-raying Advanced networking Cold calling Organizational mapping - Build talent pools and pipeline candidates and potential candidates - Gather and analyze business and competitive intelligence - Evaluate job requisitions to identify essential skills and best matched candidates Impact: - Erroneous decisions or recommendations would possibly result in delays and modifications to project/operations; possibly cause expenditure of time, human resources, and funds Liaison: - Frequent contacts with equivalent level inter-organizational managers and customer representatives concerning projects, operational decisions, scheduling requirements or contractual clarification. Conducts briefings and technical meetings for internal and external representatives Job Requirements: EDUCATION: High school diploma or equivalent required EXPERIENCE: 4 years of related experience Minimum of one year of recruiting SKILLS REQUIRED: Bilingual French/English Ability to successfully interface with clients (internal and external) Strong interpersonal and communication skills Proven ability to work within a team environment Ability to make decisions, take direction and execute a plan Detail orientation with follow-through shown in previous jobs Able to communicate with and present at the executive level Ability to handle multiple priorities simultaneously Ability to qualify and close deals Sales abilities along with market knowledge and/or product/technical expertise Strong computer and Internet skills If you are qualified & interested in this position  please do the following: Email your updated resume to michellewoods@sourceright.com . Please note Honeywell Recruiting Manager-Ref in the subject line. Employment Type: Full-Time Industry: Employment - Recruiting - Staffing, Energy - Utilities - Gas - Electric, Defense - Aerospace"
1,8131,13993,Honeywell,142,5574,0,description,"Description Join a world class organization in a new role as ACS IT Effectiveness Leader within Honeywell Automation & Control Solutions (ACS) Division. Honeywell was once again listed on Fortune magazine March 2010 edition as one of the most admired and inventive companies. Learn more about us at www.honeywell.feedroom.com Honeywell Automation and Control Solutions (ACS) is an automation and control company providing customers with solutions that are responsive to their expectations for quality and delivery. Our products and solutions deliver productivity, comfort, safety and reliability to customers around the world in industry, retail and residential settings. ACS is 1 of 4 divisions of Honeywell International with annual revenues of $14 billion. As ACS IT Effectiveness Leader, you will be in a highly visible, collaborative, and strategic position. You will partner with the ACS SBU IT Effectiveness Leaders, Honeywell Information Technology Services (HITS), and Corporate functions to develop and implement common processes, tools, solutions, training materials, and strategic programs that enable IT to deliver increasing value as a business partner. To be successful in this role, you will demonstrate the following behaviors: The preferred location is the ACS corporate headquarters in Golden Valley, Minnesota; however, this position can be based near a major ACS location within the United States. - Solid relationship management and collaboration skills - Results orientated self starter - Ability to influence others to achieve desired / agreed solution - Ability to conceptualize and communicate problems and solutions - Strong business partnering mindset - Excellent process mindset - Solid communication skills (verbal & written) - Continuous improvement mindset Responsibilities in this role include: You will partner with the SBU (strategic business units) ITE Leaders and CP/S organization to implement recommendations from the Hackett Benchmark study and the ""Improving the Customer Experience"" VOC. Areas of focus: CP/S Deployments, Service Delivery, Communications, and Innovative & Value Added Solutioning - Co-lead / Support the Software Lifecycle Management and Application Rationalization Programs. - Develop on-line training material for the IT Function that increases the skill sets of IT Employees and value provided to the business - Ensure process alignment with CP/S and integration into the IT Common Processes - Review and revise IT Common Processes to ensure desired business benefits and objectives are being realized - Lead the One-Stop-Shop web site re-design. Partner with HITS to leverage their portal where possible to eliminate redundancy - Develop and implement an effective IT communication strategy that provides timely and effective communications - Lead and participate in efforts to improve the IT Customer Experience. Support targeted 15% year-over-year improvement - Support IT Functional Transformation initiative via overall Program Management. Prepare monthly and quarterly status reports - Support the development of the Annual Operating Plan (AOP) and Five Year Strategic Plan (STRAP) - Maintain application monitoring metrics. Partner with the application owner to identify root causes and corrective action plans - Represent ACS at Corporate IT Effectiveness Council - Support ACS in achieving compliance with Corporate on-line training programs Key Success Factors: Specific expectations during next 6 months: - Develop working relationships with SBU / SBG IT Effectiveness Leaders - Develop an understanding of the IT landscape in ACS and opportunities to drive improvement initiatives Please note: Relocation benefits are not included with this position. Qualifications Basic Qualifications: - Bachelors degree in Business or Management Information Systems. - 8 or more years of experience in information technology with global focus. - 5 or more years of experience in successfully leading six sigma or lean initiatives. Preferred Qualifications: - Graduate degree preferred - Certification in at least two of the following areas: Project Management, Six Sigma, and Lean - Demonstrated results in leading complex programs and developing solutions to complex business problems - Results orientated self starter - Solid understanding of Six Sigma, Lean, Project Management, and VOC tools and methodologies - Strong business partnering and collaboration mindset - Effective communication skills (verbal & written) - Solid PC skills, (Excel, Access, Power Point) - Effective leadership, influencing, and mentoring skills - Ability to develop solutions to complex problems and obtain approval - Ability to work effectively in a matrix environment with virtual teams, and to influence action. - Continuous improvement mindset - Ability to synthesize vast amounts of data into actionable information To apply for the position, please visit www.careersathoneywell.com and enter requisition 00154714. As an Equal Opportunity Employer, Honeywell is committed to a diverse workforce. Keywords: ""organizational effectiveness"", lean, ""six sigma"", IT, ""information technology"", global Job : Information Technology Primary Location : USA-MN-Golden Valley Other Locations : USA-IL-Chicago, USA-NJ-Morristown, USA-AZ-Phoenix Education Level : Bachelors Degree Travel : Yes, 10% of the time Relocation Available : No"
2,8131,13993,Honeywell,142,5575,1,description,"job duties. * Create a cooperative environment through beneficial behavior, commitment to common goals, contribution to problem solving, communication of ideas and suggestions, and encouragement to other employees and departments. * Accountable for the security of FlightSafety International materials, projects and business information regarding the methods and techniques used in the production and usage of FlightSafety International products. * Accountable for the accuracy and completeness of assigned tasks. * Adhere to a required work schedule including prompt and regular attendance. * Report, on a timely basis, any safety hazards observed in work area, equipment, and/or building to appropriate person(s) for correction. * Participate in the Quality Management System (QMS) activities at assigned site and adhere to the processes related to accomplishing the site's QMS goals. * Support FlightSafety International's, and its subsidiaries', commitment to ethical behavior by basing our priorities on lawful and ethical conduct as we deal with co-workers, Customers, vendors and others in all of our operations. (See Sarbanes-Oxley Act of 2002) OTHER DUTIES AND RESPONSIBILITIES: *Prioritize workflow on a daily, weekly and monthly basis. *Attend, facilitate and/or research training to increase skills applicable to job position and workplace issues. *Travel, as required. *Other duties may be assigned by the Learning Center Manager or the DOMT. SUPERVISORY RESPONSIBILITIES: Maintenance Instructors The Individual * Fluency in English, through both verbal and written communications; able to speak, understand, read and write * Excellent organizational skills * Ability to adapt to changing schedules and high-pressure situations * A second language may be helpful in some Learning Centers, to meet particular needs. * General knowledge of the following software: MS Word, MS Excel, MS PowerPoint and MS Outlook * Database: - MS Access, preferred * Other software programs may be required, as needed. * The employee must regularly lift and/or move up to 10 pounds, and frequently lift and/or move up to 25 pounds.FlightSafety Services Corporation is an Equal Opportunity Employer (M/F/D/V)"
3,8131,13993,Honeywell,142,5576,0,description,"Description We are building a world thats safer and more secure . . . More comfortable and energy efficient . . . More innovative and productive? We are Honeywell. Honeywell International is a $30-billion diversified technology and manufacturing global leader. Honeywell has more than 120,000 employees in 95 countries around the world. Honeywell has a demonstrated heritage of both innovation and achievement. The Automation & Control Solutions (ACS) Division of Honeywell is driving the revolution of its business and the industry. ACS provides products and services that give their customers the power to create and control efficient, safe, comfortable environments. This $10-Billion enterprise offers controls for heating, ventilating, and air conditioning; security systems, fire alarm systems, and energy management systems for all indoor environments. From home thermostats to large commercial building management systems, services, and controls, Honeywell ACS is clearly a global leader. The Alerton/Trend Dealer business is worth about $55 million and has approximately 200 Dealers throughout the world. The role of Customer Service Lead is an exciting opportunity to join an expanding team focused on the delivery of exceptional customer support to our Dealer Channels The Customer Service Lead is responsible for providing exceptional customer service for the Alerton/Trend Dealer Business for Honeywell Environmental & Combustion Controls (ECC). In this role your responsibilities will include: - Respond to customer calls, emails, faxes regarding order inquiry as to ship dates, problems, order changes, repairs and RMAs. Communicate with other departments such as Repair Technicians, Shipping, Manufacturing, Regional Sales Managers, Product Managers, etc., to resolve customer issues. Recommend improvements in work-flows and procedures. Create, maintain and document work-flow processes - Enter customer orders into ERP system from a variety of sources such as faxes and web orders. Maintain order accuracy with changes to ship dates, order contents, ship method, etc. Recommend improvements in work-flows and procedures. Create, maintain and document work-flow processes - Administer letters of credit, wire transfers and other forms of foreign payments. Prepare proper documentation for International orders to include pro-forma invoices, shipping documents, packing lists, and letter of credit required documents - Enter Return Material Authorization requests into ERP system from a variety of sources such as faxes and emails. - Answer overflow calls from automated attendant and direct to appropriate person or department. - Write reports, business correspondence, and procedure manuals. - Present information and respond to questions from groups of managers and customers. - Sufficient skills in writing, speaking and listening to communicate moderately complex topics clearly and concisely. - Occasionally deal with difficult individuals or situations with calmness and professionalism. - Work with sensitive corporate information with high degree of discretion and professionalism. - Work with fundamental mathematical concepts. Ability to apply concepts such as fractions, percentages, ratios and proportions to practical situations. - Ability to solve practical problems and deal with a variety of concrete variables in situations where only limited standardization exists. Ability to interpret a variety of instructions furnished in written, oral, diagram or schedule form. Think with and demonstrate sound analytical reasoning and problem solving - Make progress on (and complete) multiple projects, some under supervision, others without significant supervision; negotiate and meet deadlines. Create and maintain well-organized documentation. - Ability to read, analyze and interpret general business periodicals, professional journals, technical procedures, or governmental regulations. Qualifications Basic Qualifications: - High school diploma. - 3 years minimum of Customer Service experience in a manufacturing environment. Additional Qualifications: - Associates Degree or higher preferred. - Excellent verbal and written communication skills. - Excellent attention to detail . - Must work well with others; both individually and in groups. - Ability to analyze and report preparation with current versions of MS Office (Excel, Word, Outlook). - SAP experience preferred. Honeywell has been selected as one of the Most Admired Companies in the world by Fortune magazine. To apply for this position, please go to www.careersathoneywell.com, and enter requisition #00145682 As an Equal Opportunity Employer, Honeywell is committed to a diverse workforce. Honeywell has been selected as one of the Most Admired Companies in the world by Fortune magazine. As an Equal Opportunity Employer, Honeywell is committed to a diverse workforce. Job : Customer/Product Support Primary Location : USA-WA-Redmond Education Level : High School Diploma/GED Travel : No Relocation Available : No"
4,8131,13993,Honeywell,142,5577,1,description,"*About the Role:* * * As a ""Trusted Advisor"", a Resident Support Account Manager will foster strong relationships between McAfee and its customer and will be relied upon to provide advice and recommendations, based upon their own experience and expertise, for McAfee products across all levels of an organization. The RSAM will be an on-site McAfee resource, dedicated to the needs of one customer. They serve as a customer advocate to support the proper functioning of McAfee products deployed throughout the organization. They coordinate the McAfee team and resources needed to resolve issues that prevent the proper operation of products in production. With a goal to support continued renewals and product purchases, they will think strategically and recognize opportunities for revenue generation and competitive displacement, and share that information with their Sales team. *Key Responsibilities:* * Customer Advocacy o Monitor and manage each of their customers' issues daily with emphasis on progressing cases towards resolution and having the appropriate resources involved o Collaborate, communicate and coordinate with customers, Product Specialists, Tier III, Development and Management as required to ensure customers' satisfaction o Provide weekly status update summary to the customer for all of their current open issues and copy the customer's sales representative on those updates o Represent customers' interest when they need a patch, hotfix or FMR at all levels within our organization o Provide customer with proactive communication regarding program information, supportability issues and strategic product plans. o Help identify, recommend, and implement improvements in existing processes and procedures related to the proper functioning of McAfee products. * Business Advocacy o Provide information to update the Customer Hotlist / Watchlist entries weekly or as status changes o Ensure internal and customer service level agreements are met for all issues o Assist in maintaining effective and efficient communication between customers, sales, McAfee management, and Product Specialists o Provide customers with monthly and quarterly Executive Summary Reports and host conference calls as needed for the customer and McAfee virtual team to discuss past or current issues. Work with the customer during these sessions to establish customer agreement with severity and impact assigned to issues. o Communicate customer's case escalations after theses sessions to management so they can be presented to Tier III for inclusion on escalations to development o Maintain personal technical competency level of McAfee products deployed suitable to clearly understand customer issues and to facilitate effective resolution o Work with the customer and provide product reports as required. o Review product configuration and advise on best practices when required * Must Have Experience Supporting McAfee Product Line. * Minimum five years applicable experience, of those three years must be experience in relationship or customer management in a technical environment with named or dedicated accounts. * Experience in management of technical projects requiring coordination of various resources for successful outcome. * Strong working knowledge of the McAfee Security product line. * Bachelors Degree from an accredited institution, especially in computer science, mathematics, or a related field, is required * CompTIA Security, CISSP, PMP, and/or CISM Certification preferred and possibly required for continued employment * Strong knowledge of data security hardware, software, and management platforms with an understanding and emphasis on installation, troubleshooting, upgrading, integration, and maintenance of client/server operations is desired * Excellent written and verbal communication skills * Strong personal interaction, presentation and telephone interaction skills at the business professional services level * Strong personal computing skills in Windows 2000/XP and Windows Server 2003. * Ability to multitask and prioritize job requirements in a dynamic environment. * Ability to obtain and maintain a government security clearance may be required **Job:** **General* **Title:** *Resident Support Account Manager - Honeywell* **Location:** *Arizona, Phoenix* **Requisition ID:** *773328*"
5,8131,13993,Honeywell,142,5578,1,description,Title: Honeywell Presales System Engineer Location: IL-Chicago NA NA
6,8131,13993,Honeywell,142,5579,0,description,"We are the fastest growing Honeywell Security product dealers in the Valley, call now to set up your interview 602-437-1901, or send your resume to jamiesuperior@yahoo.com Superior Surviellance and Alarm, LLC is now hiring for the following positions: 1 - Telemarketing Manager 2 - Telemarketing Closers 8 - Telemarketers and 3 - Outside sales reps to run leads Theses are commission based positions"
7,8131,13993,Honeywell,142,5580,1,description,"About Dallas Airmotive Tracing its origins to 1932 at Dallas Love Field, Dallas Airmotive, a BBA Aviation company, got its start repairing and overhauling aircraft piston engines. Today Dallas Airmotive focuses on servicing turbine engines used by business and general aviation, government, military, airline and rotor wing operators around the world. As a leading independent OEM-authorized turbine engine repair and overhaul organization, we have forged bonds with turbine engine manufacturers that go back more than 60 years. Working with these OEMs, we are proud to have developed many of the repair and overhaul techniques that are standard in the industry today. Over the years, we have continued to add engine authorizations, services and capabilities that encompass the majority of turbine-powered business and general aviation aircraft flying today, with support that extends to every corner of the globe. If you are looking for a rewarding career with a time-tested leader in the aviation industry, we encourage you to apply for this challenging and gratifying career opportunity by clicking APPLY ONLINE above. Job Summary: This position is responsible for senior level sales support activities, preparation of engine proposals, technical knowledge, and customer coordination in support of the Regional Engine Managers sales efforts for the Honeywell program. Essential Duties and Responsibilities: (Not listed in order of importance. Other duties may be assigned.) 1. Provides technical review of engine logs in order to accurately asses the requirements in order to prepare sales proposals for Honeywell engines. 2. Maintain appropriate files, both electronically (CRM) and paper, in order to track status and report data to Territorial Sales Directors for forecasting purposes. 3. Maintain positive and effective contact with customers, brokers, agents and others to enhance opportunities for new and continuing business development. 4. Tracks and prepares appropriate documentation for fuel concessions on a monthly basis. 5. Coordinates activities for certain major accounts as directed by appropriate sales director. 6. Provide technical support for the Honeywell program regarding specifics to service bulletins, life limited component status and other technical questions as they arise. 7. Provide technical data, from sales proposals, to operating groups to ensure proper workscopes are maintain through out the process. 8. Assist in training of other team members ensuring best practice standards are maintained. 9. Identify opportunities for improvement processes, in working practices and team efficiency. 10. Adhere to the Company's proprietary information protection policies. 11. Maintain positive working relationships with all internal departments and attend meetings if requested, when department representation is required 12. Assist customers with obtaining satisfactory information as delegated/authorized. 13. Provide coordination of customer visits to ERO facilities and entertainment while customers are on site. Formal Education/Training: College degree (Associates or Bachelor's) or high school graduate with technical/sales training and knowledge normally achieved through graduation from a university or vocational program. Direct /Indirect Experience: Should have a minimum of three to five (3-5) years sales/service related experience in the aviation services industry. Qualifications: (Including Licenses and Certifications) Must possess effective written and verbal communications skills, especially since a great deal of contact is by telephonic or electronic means. Must be able to demonstrate PC proficiency in MS Word and Excel as well as to learn any corporate or industry software used by the position, such as CHAMPS or equivalent systems. Should have a good working knowledge of sales and customer service techniques. Accounts Payables and/or purchasing experience is helpful. Fluency in Spanish is a plus. Physical And Mental Demands: Normal work is performed in an office environment: may exert up to (50-70) pounds of force infrequently to lift, carry, push, pull or otherwise move objects. Work involves walking, sitting, or standing for various periods of time. Near clarity of vision required for close up chart/document analysis. Reaching: extending hands and arms in any direction. Handling: seizing, holding, grasping, turning or otherwise working with hand(s). Talking: expressing or exchanging ideas by means of the spoken word to impart oral information to convey detailed spoken instruction to other workers, customers or agents accurately, loudly or quickly. Hearing: effectively perceiving the nature of sounds by ear. Mental: The job requires diligence/attention in performing duties under normal mental stresses commonly associated with detailed, often high value sales work, solving various customer issues, often in a time sensitive environment using sound knowledge of products and industry practices. Work Environment : (The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job.) Most work is performed in an office environment. However, the environment includes occasional outside exposure, to hangars, ramps and engine shop environments, including: hoists, heavy parts, chemicals and fluids with use of precision instruments, stringent housekeeping and work area safety regulations and practices to observe. Limited travel may be required, but usually on a local, inter-facility basis. Dallas Airmotive, Inc. is a Military Friendly employer. This job description shows typical requirements of a position within this job classification. This description is not intended to be all-inclusive. Individual positions may vary slightly in functions, job dimensions and requirements. Candidates whose disabilities make them unable to meet these requirements will still be considered fully qualified if they can perform the essential functions of the job with reasonable accommodation. This position may require access to US-controlled sensitive information which may require US citizenship. AA/EOE/ADA"
8,8131,13993,Honeywell,142,5581,0,description,"1 - Telemarketing Manager 2 - Telemarketing Closers 8 - Telemarketers and 3 - Outside sales reps to run leads Theses are commission based positions We are the fastest growing Honeywell Security product dealers in the Valley, call now to set up your interview 602-437-1901, or send your resume to jamiesuperior@yahoo.com"
9,8131,13993,Honeywell,142,5582,1,description,"Automation - Honeywell Systems Engineer Category: Automation and Controls Type: Description: Automation Engineers provide technology solutions for our control, safety and information systems projects in the Oil & Gas and Process industries. They participate in all aspects of the project, from Front End Engineering & Design (FEED) through Detailed Design through Start-Up & Commissioning. Our projects include both grassroots and revamps. The scope of many of our projects is exclusively automation. Requirements: ? Experience in the control systems integration with an operating company, systems vendor or engineering services provider ? Strong background in Honeywell TPS system. ? Experience with control of boilers with multiple burners. ? Experience with systems testing, start-up and commissioning ? Expert written and verbal communication skills. ? Ability to travel (~20%) to customer locations for project implementation ? Legal authorization to work in the USA on a full-time basis ? Professional Engineering License is an asset ? Bachelor of Science degree in Chemical, Electrical, or Mechanical Engineering Location Greenville, SC USA Minimum Experience (yrs): 7+ Required Education: Bachelors in Engineering"
