paperless,[113, 35, 113, 35, 126, 120, 113, 35, 113, 35, 125, 126, 113, 35, 113, 34, 113, 35, 126, 126, 126, 125, 113, 35, 113, 34, 113, 34, 113, 35, 112, 32, 113, 35, 126, 126, 113, 35, 113, 35, 113, 35, 126, 126, 113, 34, 113, 35, 113, 34, 113, 34, 112, 32, 113, 35, 124, 124, 126, 120, 113, 35]
radiologists,[112, 33, 112, 32, 112, 33, 112, 33, 112, 33, 112, 33, 112, 32, 112, 32, 112, 33, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 33, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32]
four,[116, 32, 112, 32, 116, 32, 116, 32, 112, 32, 124, 115, 113, 34, 124, 115, 124, 115, 124, 32, 112, 32, 116, 32, 116, 32, 124, 115, 116, 32, 116, 32, 116, 32, 126, 120, 124, 115, 124, 32, 112, 32, 126, 120, 116, 32, 113, 34, 112, 32, 126, 120, 124, 115, 116, 32, 113, 34, 126, 120, 112, 32]
looking,[126, 31, 124, 32, 126, 31, 124, 32, 124, 32, 126, 31, 124, 32, 124, 32, 124, 32, 116, 32, 124, 32, 120, 30, 124, 32, 116, 32, 126, 31, 124, 32, 124, 32, 126, 31, 126, 31, 126, 31, 124, 32, 116, 32, 126, 31, 124, 32, 124, 32, 124, 32, 124, 32, 116, 32, 116, 32, 124, 32, 124, 32]
eligible,[124, 32, 124, 32, 124, 32, 116, 32, 124, 32, 116, 32, 124, 115, 116, 32, 126, 31, 120, 30, 124, 115, 116, 32, 116, 32, 124, 115, 124, 32, 124, 32, 124, 32, 124, 32, 116, 32, 124, 32, 124, 32, 116, 32, 116, 32, 124, 32, 124, 32, 116, 32, 116, 32, 124, 32, 124, 32, 124, 115, 120, 30]
electricity,[112, 32, 112, 32, 124, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32]
hermann,[112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32]
regional,[112, 32, 113, 34, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 113, 34, 112, 32, 113, 34, 112, 32, 112, 32, 116, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 113, 34, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32]
dell,[112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 124, 32, 116, 32, 112, 32, 112, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 124, 32, 112, 32, 116, 32, 112, 32, 113, 34, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 116, 32, 112, 32, 112, 32, 112, 32]
bringing,[112, 32, 124, 32, 112, 32, 112, 32, 124, 32, 124, 32, 112, 32, 112, 32, 112, 32, 112, 32, 120, 30, 124, 32, 112, 32, 112, 32, 112, 32, 112, 32, 124, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32, 124, 32, 112, 32, 124, 32, 112, 32, 112, 32, 112, 32, 112, 32, 112, 32]
