products	ent_cloud_arch	it_ops	finance	marketing	it_in_lob	it_exec	cross_lob_exec	dev_analyst
A10 Networks	0.014163774471	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABAP	0.00849551527934	0.0	0.0	0.0	0.0568241671862	0.0	0.0132183694962	0.0224594780291
ADP (Unspecified Product)	0.00107010790141	0.00488227995662	0.139699580121	0.0331877100443	0.0177681291328	0.0149454672275	0.024443701181	0.0216653539041
ADP Payroll	0.0	0.00203642245087	0.0870310598583	0.00197058529234	0.0	0.00542071848671	0.0113038011187	0.00520918554516
ADP TotalSource	0.0	0.0	0.00348325736335	0.0	0.0	0.0	0.0	0.0
ADP Workforce Now	0.0	0.0	0.00522488604502	0.0	0.0	0.0	0.0	0.0
ADTRAN	0.00581367219983	0.0	0.0	0.00200687506432	0.0	0.00784498498485	0.0	0.0
ADVA Optical	0.0022968282926	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AGTEK	0.0	0.0	0.0	0.0	0.0	0.0	0.000443542895803	0.0
ANSYS	0.0	0.0	0.0	0.0	0.0	0.0	0.00754022922865	0.0
ASG Rochade	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00538033616572
ASP.NET	0.121839428204	0.0295649175151	0.00109295546325	0.00285799260487	0.0662839427225	0.0838245770585	0.0325916015746	0.10022464337
AT&T Centrex	0.0	0.0	0.0	0.00257049360064	0.0	0.0	0.00260206494024	0.0
AT&T U-Verse	0.0	0.0	0.00179933279398	0.00158437505078	0.0	0.0	0.0291897911079	0.0
AVST	0.0	0.0	0.00124402048691	0.0	0.0	0.0	0.0	0.0
AWeber	0.0	0.0	0.0	0.00014605376902	0.0	0.0	0.0	0.0
Ab Initio	0.00974006601937	0.00348662731525	0.00111062461413	0.00162990594375	0.0166916186413	0.0	0.00356383754462	0.0274694702799
Abila	0.0	0.0	0.0125953295578	0.000633750020311	0.0	0.0	0.000641533870504	0.0
Accenture Alnova	0.0	0.0	0.000248804097382	0.0	0.0	0.0	0.0	0.0
AccessData	0.0	0.00339600191225	0.0	0.0	0.0	0.0	0.0	0.0
Accruent	0.0	0.00170766878561	0.00208517251467	0.0	0.0	0.0	0.0	0.0
AccuRev	0.0	0.0	0.0	0.0	0.0263485556062	0.0	0.0	0.0
Achilles Group	0.0	0.0	0.00124402048691	0.0	0.0	0.0	0.0	0.0
Acronis	0.0	0.0	0.0	0.0	0.0	0.00545473759713	0.0	0.0012212258538
Actian	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00325061976679
Actuate	0.00325195782379	0.00101821122544	0.000497320342047	7.29846404569e-05	0.0206566712165	0.0	0.0	0.0113705878029
Acumatica	0.0	0.0	0.000995216389528	0.0	0.0	0.0	0.0	0.0
Acunetix	0.0	0.0040752022947	0.0	0.0	0.0	0.0	0.0	0.0
Acxiom	0.0	0.0	0.000248804097382	0.0	0.0	0.0	0.0	0.0
AdRoll	0.0	0.0	0.0	0.0194251512797	0.0	0.0	0.0	0.0
Adaptive Insights	0.0	0.0	0.0268708425173	0.0	0.0	0.0	0.0	0.0
Aderant	0.0	0.0	0.00199043277906	0.0	0.0	0.0	0.0	0.0
Adestra	0.0	0.0	0.0	0.00219080653531	0.0	0.0	0.0	0.0
Adobe (Unspecified Product)	0.0374537765494	0.00433980440588	0.0272245269936	0.161214113466	0.0644567237691	0.043103593888	0.121332864558	0.0853632849071
Adobe Acrobat Pro	0.0	0.0	0.0	0.0113921939836	0.0	0.0	0.0	0.0
Adobe After Effects	0.0	0.0	0.0	0.00244808914347	0.0	0.0	0.00148689425156	0.0
Adobe Air	0.000276841533325	0.0	0.0	0.0	0.00810126162125	0.00235349549545	0.0	0.0
Adobe Analytics	0.0	0.0	0.0	0.00501858274411	0.0	0.0	0.0	0.0174729237543
Adobe Audience Manager	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000896722694287
Adobe CQ	0.012734710533	0.0	0.0	0.0021125000677	0.0	0.00117674774773	0.0	0.0
Adobe Campaign	0.0	0.0	0.0	0.00477377382976	0.0	0.0	0.0	0.00084546405263
Adobe Coldfusion	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00100881303107
Adobe Connect	0.0	0.0	0.0	0.00306712914943	0.0	0.0	0.0	0.0
Adobe Creative Suite	0.0	0.0	0.000279292866966	0.112142746024	0.0	0.00365310134132	0.0141900133334	0.00251652057578
Adobe Dreamweaver	0.0	0.00136433242771	0.000888499691306	0.0672173211203	0.0602165988959	0.00702127394316	0.0217790072171	0.0195138313463
Adobe Edge	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000224180673572
Adobe Experience Manager	0.0150785506898	0.0	0.0	0.00220328022912	0.0	0.0	0.0	0.0
Adobe Flex	0.00922370230328	0.0	0.0	0.0	0.0849361231357	0.00447090980201	0.0	0.000781817273165
Adobe Illustrator	0.0	0.0	0.000994640684095	0.103565204808	0.0258996812771	0.00108414369734	0.0183963822128	0.0044810198238
Adobe InDesign	0.0	0.0	0.0	0.0802927381169	0.0	0.00103174841585	0.00787477331687	0.000923965868286
Adobe Lightroom	0.0	0.0	0.0	0.00489617828694	0.0	0.0	0.00297378850313	0.0
Adobe Marketing Cloud	0.0139642894786	0.0	0.000621650427559	0.0321862264415	0.0136791315117	0.0	0.00376793370624	0.0337756869219
Adobe Pagemaker	0.0	0.0	0.0	0.00559812517942	0.0	0.0	0.00128306774101	0.000486377405329
Adobe PhoneGap	0.0	0.0	0.0	0.0	0.111420872861	0.0196124624621	0.00930224112231	0.0
Adobe Photoshop	0.000611490229378	0.000678094438419	0.0046699006157	0.110061878477	0.0630075501164	0.00974704384401	0.0480017610148	0.0197405394043
Adobe Premiere	0.0	0.0	0.0	0.00728812523358	0.0	0.0	0.00352843628777	0.00145913221599
Adobe SiteCatalyst	0.0	0.0	0.0	0.00648743623019	0.0	0.0	0.0	0.0207608395146
Adobe Target	0.0	0.0	0.0	0.00440656045824	0.0	0.0	0.0	0.00460308206432
Advantech	0.0	0.0	0.0	0.00204475276629	0.0	0.0	0.0	0.0
Advent Software	0.0	0.0	0.00174162868167	0.0	0.0	0.0	0.0	0.0
Aerospike	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00123299370464
Agilent Technologies	0.00236342749868	0.0	0.000139646433483	0.00352495473614	0.0123534103964	0.0	0.013194222924	0.0
Agilix	0.0	0.0	0.0	0.00014605376902	0.0	0.0	0.0	0.0
Agilysys	0.0	0.0	0.00341873230856	0.00105625003385	0.0	0.00392249249242	0.0	0.0
Agresso	0.0	0.0	0.0149282458429	0.0	0.0	0.0	0.0	0.0
AirMagnet	0.00535926601607	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AirWatch	0.0	0.000284611464269	0.0	0.0	0.0	0.00590929906356	0.0	0.0
Akamai	0.0203892366704	0.0	0.0	0.00250046589291	0.0	0.00756615504956	0.00309366094591	0.0
Akamai DNS	0.0011484141463	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alfabet	0.0	0.0	0.0	0.0	0.000157775782073	0.0	0.0	0.0
Alfresco	0.00267963300804	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Algorithmics	0.0	0.0	0.000417034502934	0.0	0.0	0.0	0.0	0.000657583152045
Alpine Data Labs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000448361347143
Alterian	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00347480044036
Alteryx	0.0	0.0	0.00166813801174	0.0	0.0	0.0	0.0	0.0328791576023
Altiris	0.0	0.00142305732134	0.0	0.0	0.0	0.00545473759713	0.0	0.0
Altova MetaTeam	0.0	0.0	0.0	0.0	0.0211565470325	0.0	0.0	0.00995768773097
Amadeus	0.0	0.0	0.0	0.00232568468629	0.0	0.0	0.00334551206602	0.0
Amazon AWS	0.143088713674	0.026174445323	0.00119231505082	0.00711581832232	0.0653073256957	0.122812752435	0.0302889340721	0.0658913242702
Amazon AWS CloudFormation	0.0	0.0	0.0	0.0	0.0	0.00227280733214	0.0	0.000281821350877
Amazon AWS Elastic Beanstalk	0.0	0.0	0.0	0.0	0.0	0.00590929906356	0.0	0.000751523602338
Amazon AWS Identity and Access Management (IAM)	0.0	0.0	0.0	0.0	0.0	0.00325431362336	0.0	0.0
Amazon CloudFront	0.0	0.0	0.0	0.0	0.00859484723196	0.0172733357242	0.0	0.0
Amazon Cloudwatch	0.0	0.0	0.0	0.0	0.0	0.00542385603893	0.0	0.0
Amazon DynamoDB	0.00537142613337	0.00247789899032	0.0	0.0	0.0510519074806	0.00943717846508	0.0	0.00629130143946
Amazon EC2	0.0365367026084	0.0103518141253	0.0	0.0	0.0793153100907	0.0590858315051	0.00421122002463	0.0254858002478
Amazon ElastiCache	0.0	0.0	0.0	0.0	0.0	0.00705101285061	0.0	0.0
Amazon Elastic MapReduce	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0105364916579
