product_id	product_name	original pattern	token and separated token	detected_language	confidence_score	translated_language 
507	Xythos	['Xythos']	xythos	en	1	xythos
818	jQuery	['jQuery']	jquery	en	0.809160292149	jquery
345	Omniture (Unspecified Product)	['Omniture']	omniture	en	1	omniture
346	OmniUpdate	['OmniUpdate']	omniupdate	lb	0.740939795971	omni update
347	Omnivex	['Omnivex']	omnivex	nl	0.51953125	Omnivex
340	NovaMind	['NovaMind']	novamind	en	1	novamind
341	Novo Service Desk	['"Novo Service Desk"']	desk	en	0.98828125	desk
342	NTP Software	['"NTP Software"']	software	en	0.736000001431	software
343	Nuance	['NuanceP']	nuancep	en	0.494208484888	nuancep
810	DB2	['DB2']	db	hu	0.56809335947	db
811	Linux	['Linux']	linux	en	0.529880464077	linux
812	Unix	['Unix']	unix	en	0.669260680676	unix
813	HTML	['HTML']	html	en	0.496031731367	html
348	OpenDNS	['OpenDNS']	opendns	id	0.640625	Opendns
349	OPIN	['OPIN']	opin	is	0.75	open
816	MySQL	['MySQL']	mysql	en	0.62109375	mysql
817	Perl	['Perl']	perl	en	0.569230794907	perl
595	NetApp Enterprise Storage Systems	['"NetApp Enterprise Storage Systems"']	systems	en	0.98046875	systems
719	Pivotal GemFire	['Gemfire']	gemfire	da	0.942250788212	Gemfire
718	VMware vFabric	['vFabric']	vfabric	en	1	vfabric
717	VMware vCloud Director	['"vCloud Director"']	director	en	0.76953125	director
716	VMware vCenter	['vCenter']	vcenter	en	0.76953125	vcenter
714	VMware vCenter Server	['"vCenter Server"']	server	en	0.716535449028	server
713	VMware vCenter Orchestrator	['"vCenter Orchestrator"']	orchestrator	en	1	orchestrator
712	VMware vCenter Operations	['"vCenter Operations"']	operations	en	1	operations
711	VMware vCenter Lab Manager	['"vCenter Lab Manager"']	manager	en	0.813953459263	manager
710	VMware vCenter Converter	['"vCenter Converter"']	converter	en	0.905511796474	converter
618	NetApp SupportEdge	['SupportEdge']	supportedge	en	0.9296875	supportedge
917	McAfee IPS	['"mcafee ips"']	ips	en	0.527131795883	ips
594	NetApp DataFort	['NetApp AND DataFort']	datafort	en	1	datafort
916	McAfee Host IPS	['hips AND mcafee']	mcafee	en	0.811764717102	mcafee
619	NetApp SyncMirror	['SyncMirror', '"Sync Mirror"']	mirror	en	1	mirror
910	IBM SPSS Advanced Statistics	['"SPSS Advanced Statistics"']	statistics	en	1	statistics
913	Velocify	['Leads360']	leads	en	1	leads
298	Madcap	['Madcap']	madcap	en	1	madcap
299	MAGIQUE	['MAGIQUE']	magique	fr	1	Magic
296	LogicNP	['LogicNP']	logicnp	bs	0.758754849434	LogicNP
297	Longview CPM	['"Longview CPM"']	cpm	en	0.8203125	cpm
294	Linktivity	['Linktivity']	linktivity	de	1	Linktivity
295	LionClock	['LionClock']	lionclock	ga	0.999999761581	lionclock
292	Lenel	['Lenel']	lenel	en	0.98046875	lenel
293	Lexmark	['Lexmark']	lexmark	en	0.554263591766	lexmark
290	LEAP Office	['"LEAP Office"']	office	en	0.94921875	office
291	LegaSuite	['LegaSuite']	legasuite	tl	0.999802649021	legasuite
591	NetApp Brocade Encryption	['"Brocade Encryption"']	encryption	en	1	encryption
590	Microsoft Dynamics ERP	['"Microsoft Dynamics ERP"', '"Microsoft Dynamics Enterprise Resource Planning"', '"MS Dynamics Enterprise Resource Planning"', '"MS Dynamics ERP"']	ms dynamics erp	en	0.207272574306	ms dynamics erp
593	NetApp Data ONTAP	['"Data ONTAP"']	ontap	en	1	ontap
592	NetApp Common Internet File System (CIFS)	['"NetApp CIFS"', '"NetApp Common Internet File System"']	system	en	0.9296875	system
199	Cincom Eloquence	['eValid']	evalid	en	0.979016959667	evalid
198	EtQ	['EtQ']	etq	bg	0.999999940395	Et
597	NetApp FlexClone	['flexclone', '"flex clone"']	clone	en	0.859375	clone
596	NetApp FilerView	['FilerView']	filerview	lb	0.503470718861	FilerView
195	Esker	['Esker']	esker	eu	0.87109375	Thanks
598	NetApp FlexCache	['flexcache', '"flex cache"']	cache	en	0.669260680676	cache
197	ETAP	['ETAP']	etap	ru	0.37109375	Etap
196	ESRI	['ESRI']	esri	en	0.976653695107	esri
191	Epicdata	['Epicdata']	epicdata	so	0.928304731846	epicdata
190	EpicCare	['EpicCare']	epiccare	co	0.912104964256	epiccare
193	Equinix	['Equinix']	equinix	en	1	equinix
192	EPM Live	['"EPM Live"']	live	en	0.86274510622	live
270	JNetDirect	['JNetDirect']	jnetdirect	az	0.998744249344	jnetdirect
271	Jolly Giant	['"Jolly Giant"']	giant	en	0.98828125	giant
272	JSCAPE	['JSCAPE']	jscape	cs	0.56825876236	Jscape
275	Kalido	['Kalido']	kalido	el	1	Kalido
276	KANA Software	['"KANA Software"']	software	en	0.736000001431	software
277	Karmak	['Karmak']	karmak	tr	0.484251976013	Scum
278	Kbox	['Kbox']	kbox	mt	0.99246686697	KBOX
279	KeepTrak	['KeepTrak']	keeptrak	af	0.999763607979	keeptrak
524	GoToTraining	['GoToTraining']	gototraining	vi	1	Gototraining
525	GoToWebinar	['GoToWebinar']	gotowebinar	pl	1	Ready-made
526	Citrix NetScaler	['"Net Scaler"', 'NetScaler']	netscaler	no	0.51953125	Network scaler
527	Citrix Cloud Gateway	['citrix AND "Cloud gateway"']	gateway	en	0.836575865746	gateway
520	Citrix Branch Repeater	['Citrix AND "branch repeater"']	repeater	en	0.7109375	repeater
521	GoToAssist	['GoToAssist']	gotoassist	en	1	gotoassist
522	GoToMeeting	['GoToMeeting']	gotomeeting	en	1	gotomeeting
523	GoToMyPC	['GoToMyPC']	gotomypc	en	1	gotomypc
599	NetApp FlexShare	['flexshare']	flexshare	sl	1	flexshare
528	Citrix Receiver	['"Citrix Receiver"']	receiver	en	0.9296875	receiver
529	Citrix XenApp	['"Xen App"', 'XenApp']	xenapp	en	0.87109375	xenapp
449	Tableau	['Tableau']	tableau	fr	0.96875	board
448	Syspro	['Syspro']	syspro	en	1	syspro
443	SurveyShare	['SurveyShare']	surveyshare	en	0.98046875	surveyshare
442	SurveyGold	['SurveyGold']	surveygold	en	0.98046875	surveygold
441	SugarCRM	['SugarCRM']	sugarcrm	en	0.65098041296	sugarcrm
440	SuccessFactors	['SuccessFactors']	successfactors	en	1	successfactors
447	Symprex	['Symprex']	symprex	tl	1	symprex
446	Symmetricom	['Symmetricom']	symmetricom	en	1	symmetricom
445	Symbian	['Symbian']	symbian	en	0.329411774874	symbian
444	SurveyTracker	['SurveyTracker']	surveytracker	en	0.98046875	surveytracker
108	Bomgar	['Bomgar']	bomgar	en	1	bomgar
109	BorderWare	['BorderWare']	borderware	en	1	borderware
102	Beagle Software	['"Beagle Software"']	software	en	0.736000001431	software
103	Bersoft	['Bersoft']	bersoft	en	1	bersoft
100	Avtech	['Avtech']	avtech	vi	0.62890625	Avtech
101	BCGSoft	['BCGSoft']	bcgsoft	lb	0.230923190713	BCGSoft
106	Blue Coat	['"Blue Coat"', 'BlueCoat']	bluecoat	en	1	bluecoat
