product_id	product_name	original pattern	token and separated token	detected_language	confidence_score	translated_language 
3557	IBM Storwize Unified Storage Disk System	['Storwize']	storwize	en	1	storwize
3556	IBM System Storage Disk Systems	['"IBM System Storage"', '"IBM Disk Systems"']	systems	en	0.98046875	systems
3555	Dell PowerVault TL4000 Tape Library	['Dell AND TL4000', 'PowerVault AND TL4000', '"TL4000 Tape Library"']	library	en	1	library
3498	Dell PowerEdge R210 II Rack Server	['"PowerEdge R210 ll"', '"Dell R210 II"', '"PowerEdge R210ll"', '"Dell R210II"']	ii	ro	0.41015625	Ii
3499	Dell PowerEdge R210 Rack Server	['"PowerEdge R210"', '"Dell R210"']	dell	en	0.4296875	dell
3559	IBM Scale Out Network Attach Storage (SONAS)	['IBM AND SONAS', 'SONAS AND "Storage Solution"']	solution	en	0.890625	solution
819	Red Hat (Unspecified Product)	['"red hat"']	hat	de	0.611764729023	Has
3497	Dell PowerEdge R200 Rack Server	['"PowerEdge R200"', '"Dell R200"']	dell	en	0.4296875	dell
1252	Barracuda Spam & Virus Firewall	['"Barracuda Spam"']	spam	en	0.625984251499	spam
1261	IBM WebSphere Application Server	['"WebSphere Application Server"']	server	en	0.716535449028	server
3492	Dell PowerEdge M620 Blade Server	['"PowerEdge M620"', '"Dell M620"']	dell	en	0.4296875	dell
3493	Dell PowerEdge M710HD Blade Server	['"PowerEdge M710HD"', '"Dell M710HD"']	dell	en	0.4296875	dell
1069	VersionOne	['VersionOne']	versionone	en	0.68503934145	versionone
1061	Autonomy Qfiniti	['"Qfiniti"']	qfiniti	it	0.415022373199	Quelled
1060	OpenText Optimost	['"Optimost"']	optimost	fi	0.463320463896	Optimost
1063	Autonomy Virage	['"Virage"']	virage	fr	0.9609375	turn
1065	Microsoft Dynamics AX	['"MicrosoftDynamics AX"', '"MSDynamics AX"']	msdynamics	hmn	0.999995589256	msdynamics
1064	Autonomy WorkSite	['"Autonomy WorkSite"']	worksite	en	1	worksite
1066	Rally Software	['"Rally Software"', 'Rally AND "ALM"']	alm	da	0.594594597816	Alm
3484	Dell EqualLogic PS6500 Series SAN Storage	['Dell AND PS6500', 'EqualLogic AND PS6500', '"PS6500 Series" AND "SAN Storage"', '"PS6500 Series SAN Storage"']	ps series san storage	en	0.193972498178	ps series san storage
1087	Cisco Aggregation Services Routers	['Cisco AND "Aggregation Services Routers"']	routers	en	0.91015625	routers
