product_id	product_name	original pattern	token and separated token	detected_language	confidence_score	translated_language 
6615	FalconStor Software	['FalconStor']	falconstor	en	1	falconstor
4721	Adobe Bridge	['"Adobe Bridge"']	bridge	en	0.945098042488	bridge
6614	ExaGrid EX13000E	['EX13000E']	ex	en	0.28015562892	ex
6667	Eversync	['Eversync', 'Revinetix']	revinetix	ro	1	Revinetix
1070	Microsoft Dynamics GP	['"Microsoft Great Plains"']	plains	en	0.96875	plains
6722	Xerox iGen4	['iGen4']	igen	sv	0.444881886244	again
6721	YSoft	['SafeQ']	safeq	en	1	safeq
6654	BridgeHead Software	['BridgeHead']	bridgehead	en	1	bridgehead
6727	Xerox Nuvera	['Nuvera']	nuvera	en	1	nuvera
6664	PHD Virtual	['"PHD Virtual"']	virtual	en	0.715953290462	virtual
4789	BMC Software	['"BMC Software"']	software	en	0.736000001431	software
4787	JDA	['JDA']	jda	ar	1	Jda
4786	Manhattan Associates	['"Manhattan Associates"']	associates	en	1	associates
4785	Valogix	['Valogix']	valogix	eo	0.306966841221	valogix
4784	Just Enough	['"JustEnough"']	justenough	en	0.529182851315	justenough
4783	Siemens Teamcenter	['"Siemens Teamcenter"']	teamcenter	sl	0.640625	Teamcenter
6952	IBM Netcool Network Management	['"Netcool Network"']	network	en	0.956692934036	network
4780	Dassault Systemes	['"Dassault Systemes"']	systemes	fr	0.87109375	Systems
3554	Dell PowerVault TL2000 Tape Library	['"TL2000 Tape Library"', 'PowerVault AND TL2000', 'Dell AND TL2000']	dell	en	0.4296875	dell
7007	Microsoft Lync Server	['"Microsoft Lync Server"', '"Microsoft Office Communications Server"']	communications	en	0.921875	communications
7006	Sybase Unwired Platform	['"Sybase SUP"']	sup	en	0.317829459906	sup
4686	Juniper Networks Junos	['Junos']	junos	en	1	junos
4687	Juniper Networks NSMXpress	['NSMXpress']	nsmxpress	mt	0.99785476923	nsmxpress
967	PeopleSoft Campus Solutions	['"PeopleSoft Enterprise Campus Solutions"']	solutions	en	0.87890625	solutions
6354	Symantec Security Information Manager	['"Symantec Security Information Manager"']	manager	en	0.813953459263	manager
4967	Clarizen	['Clarizen']	clarizen	tl	1	Clarizen
7047	Infobright	['Infobright']	infobright	en	1	infobright
4933	Actsoft Comet	['"Comet EZ"']	ez	hu	0.53125	this
7041	Moxie Software	['"Moxie Software"']	software	en	0.736000001431	software
7040	Xactly	['"Xactly Corporation"']	corporation	en	0.8984375	corporation
7043	Bloomberg	['Bloomberg']	bloomberg	en	0.75	bloomberg
6842	CA Open Space	['"CA Open Space"']	space	en	1	space
4682	Asus Laptops	['"asus laptop"', '"asus netbook"', '"Asus laptop\\/netbook"', '"Asus laptop\\/ netbook"']	asus laptop netbook	en	0.159167215228	asus laptop netbook
7049	eEye Digital Security	['"Retina CS"', '"Iris Network Traffic Analyzer"', 'eEye']	eeye	en	1	eeye
7048	HPE Vertica	['Vertica']	vertica	en	0.98046875	vertica
7120	Epicor Vantage ERP	['"Vantage ERP"']	erp	nl	0.713178277016	Erp
4935	ServiceMax	['ServiceMax']	servicemax	en	0.73828125	servicemax
4732	Adobe Flex	['"Adobe Flex"']	flex	en	0.710424721241	flex
4733	Adobe FrameMaker	['"Adobe FrameMaker"']	framemaker	en	0.631372570992	framemaker
4730	Adobe eLearning Suite	['"Adobe eLearning"']	elearning	en	0.741312742233	elearning
4731	Adobe Fireworks	['"Adobe Fireworks"']	fireworks	en	1	fireworks
4737	Adobe Photoshop	['"Adobe Photoshop"']	photoshop	en	0.509727597237	photoshop
4734	Adobe Illustrator	['"Adobe Illustrator"']	illustrator	en	0.680769205093	illustrator
4735	Adobe InDesign	['"Adobe InDesign"']	indesign	en	0.7109375	indesign
6657	Cofio	['Cofio']	cofio	cy	1	remember
5301	Oracle Fatwire	['Fatwire']	fatwire	en	1	fatwire
4738	Adobe Premiere	['"Adobe Premiere"']	premiere	en	0.69140625	premiere
5303	PTC Windchill	['PTC AND windchill']	windchill	en	0.94140625	windchill
6653	Ingram Micro	['"Ingram Micro"']	micro	en	0.5703125	micro
5305	Jobvite	['Jobvite']	jobvite	gl	0.971617460251	Jobvite
6651	Asigra	['Asigra']	asigra	en	1	asigra
6650	Arkeia	['Arkeia']	arkeia	en	1	arkeia
4831	Avid VENUE	['"Avid Venue"']	venue	en	0.848249018192	venue
4961	webAsyst	['webAsyst']	webasyst	en	1	webasyst
4939	HP ArcSight ESM	['"Arcsight ESM"']	esm	ar	1	Esm
4960	Relenta	['Relenta']	relenta	en	0.97637796402	relenta
6750	Ricoh Pro C651EX	['C651EX']	ex	en	0.28015562892	ex
6591	Nirvanix	['Nirvanix']	nirvanix	en	1	nirvanix
6592	Datapipe	['Datapipe']	datapipe	en	1	datapipe
1084	Cisco Edge Routers	['"Cisco Provider Edge Routers"']	routers	en	0.91015625	routers
6594	Mycroft	['Mycroft']	mycroft	en	1	mycroft
6595	Virtacore	['Virtacore']	virtacore	sq	0.358233273029	Streamcore
6596	NetEnrich	['NetEnrich']	netenrich	de	0.987965166569	Netenrich
6599	Carpathia Hosting	['carpathia']	carpathia	ro	0.76171875	Carpathia
6983	Kenshoo	['Kenshoo']	kenshoo	ja	1	Kenshoo
6982	BoostCTR	['BoostCTR']	boostctr	en	1	boostctr
6981	Adchemy	['Adchemy']	adchemy	ru	0.99099189043	Adchemy
6980	Peoplefluent	['Peoplefluent']	peoplefluent	en	1	peoplefluent
6385	Apple iLife	['iLife']	ilife	en	0.96875	ilife
6384	Apple OS X Server	['"OS X Server"']	server	en	0.716535449028	server
6387	Apple Xsan	['"Apple Xsan"']	xsan	en	0.96875	xsan
6386	Apple Final Cut Pro	['"Final Cut Pro"']	pro	cs	0.633204638958	for
6381	Apple Keynote	['"Apple Keynote"']	keynote	en	0.945098042488	keynote
6380	Apple Pages	['"Apple Pages"']	pages	en	0.8203125	pages
6383	Apple Numbers	['"Apple Numbers"']	numbers	en	1	numbers
6382	Apple FaceTime	['FaceTime']	facetime	en	0.599221765995	facetime
4556	HP Tape Libraries	['MSL2024', 'MSL4048', 'MSL8048', 'MSL8096', '"EML 71e"', '"EML 103e"', '"EML 245e"', '"EML 348e"', '"EML 375e"', '"EML 442e"', '"EML 469e"', '"EML 505e"']	eml	hu	0.772549033165	breast
7121	Extreme Networks	['"Extreme Networks"']	networks	en	1	networks
4689	Juniper Networks NetScreen Series	['"NetScreen"']	netscreen	en	0.78125	netscreen
6389	BlackBerry Enterprise Server	['"Blackberry Enterprise Server"', '"Blackberry Enterprise"', '"Blackberry Server"', '"Blackberry Servers"', '"Blackberry BES"', '"Black berry BES"', '"Black berry Servers"', '"Black berry Server"', '"Black berry Enterprise"', '"BES Server"']	bes server	ar	0.120344474912	Bes server
6388	Apple Xserve RAID	['"Xserve RAID"']	raid	en	0.73540854454	raid
7055	NolaPro	['NolaPro']	nolapro	en	1	nolapro
5003	Clear Objective	['"Clear Objective" AND Solution']	solution	en	0.890625	solution
5002	BatchMaster	['BatchMaster']	batchmaster	tl	0.930501937866	batchmaster
5001	Acumatica	['Acumatica']	acumatica	la	0.907334029675	acumatica
1237	Apple (Unspecified Product)	['"apple macintosh"', '"apple hardware"', '"apple mac"', '"apple operating systems"', '"apple distinguished school"', '"apple ios"']	ios	en	0.380392163992	ios
5007	JustFoodERP	['JustFoodERP']	justfooderp	en	1	justfooderp
1338	CA NetQoS SuperAgent	['"CA Application Delivery Analysis"']	analysis	en	1	analysis
5004	Clear Enterprise	['"Clear Enterprise"']	enterprise	en	0.945098042488	enterprise
5009	Sescoi	['Sescoi']	sescoi	en	1	sescoi
6932	Oracle Retail	['"Oracle Retail"']	retail	en	0.957198441029	retail
