product_id	product_name	original pattern	token and separated token	detected_language	confidence_score	translated_language 
8465	Fleetmatics	['Fleetmatics']	fleetmatics	en	0.50579148531	fleetmatics
90	Atex	['Polopoly']	polopoly	en	1	polopoly
4787	JDA	['Intactix', 'Manugistics']	manugistics	en	1	manugistics
4786	Manhattan Associates	['"Manhattan Carrier"', '"Manhattan SCALE"', '"Manhattan SCOPE"']	scope	en	1	scope
7302	SAS Enterprise GRC	['"SAS Enterprise GRC"']	grc	ga	0.80078125	grc
7303	Thomson Reuters Accelus	['Accelus']	accelus	la	0.825733006001	Accel
7300	Methodware	['Methodware', 'Kairos']	kairos	el	1	Kairos
7301	Protiviti	['Protiviti', '"Governance Portal"']	portal	en	0.3501945436	portal
7306	BMC End User Experience Management	['"BMC End User Experience Management"', '"BMC EUEM"']	euem	la	0.935682177544	euem
7304	Active Risk	['"Active Risk"', '"Active Risk Manager"', '"Active Risk" AND ERM', '"Active Risk" AND "Enterprise Risk Management"']	management	en	0.934108555317	management
7305	LogicManager	['LogicManager']	logicmanager	en	1	logicmanager
7308	Dynatrace	['dynaTrace']	dynatrace	en	1	dynatrace
7309	HP Business Process Monitor	['"HP Business Process Monitor"']	monitor	en	0.741312742233	monitor
346	OmniUpdate	['"OU Campus"', '"OU Student"', '"OU Educate"']	educate	en	1	educate
342	NTP Software	['NTP AND "Self\\-Service Storage"', '"Software QFS"']	qfs	uz	0.521526277065	qfs
7047	Infobright	['Infopliance']	infopliance	en	0.97637796402	infopliance
7046	IBM InfoSphere BigInsights	['IBM AND BigInsights']	biginsights	hi	1	Biginsights
7042	Oracle Utilities LodeStar	['Oracle AND Lodestar', 'Lodestar AND utilities']	utilities	en	0.976653695107	utilities
6840	CA NSM	['"CA Network AND Systems Management"']	management	en	0.934108555317	management
7049	eEye Digital Security	['"blink endpoint"']	endpoint	en	0.96875	endpoint
5309	Fujitsu PRIMERGY	['PRIMERGY']	primergy	en	1	primergy
6794	CA Datamacs	['Datamacs']	datamacs	no	0.98046875	Datamacs
5264	HP IBRIX	['IBRIX']	ibrix	mt	0.536295056343	ibrix
4737	Adobe Photoshop	['"Photoshop CS6"']	cs	en	0.468253970146	cs
4734	Adobe Illustrator	['"Illustrator CS6"']	cs	en	0.468253970146	cs
5260	IBM DS3500	['"DS3500 Express"']	express	en	0.76953125	express
5304	Oracle VM	['"Oracle Virtualization"']	virtualization	en	0.98828125	virtualization
5269	HP Scanjet	['Scanjet']	scanjet	en	0.941860437393	scanjet
5268	HP Designjet	['Designjet']	designjet	en	0.424710422754	designjet
48	Nice Actimize	['NICE AND Redkite']	redkite	bg	1	Redkite
297	Longview CPM	['"Longview 7"', 'Longview AND CPM', 'Khalix', '"Longview FXR"', '"Longview Tax"']	tax	en	0.98046875	tax
292	Lenel	['"SkyPoint 2.0"', '"goEntry"', '"OnGuard Access"', '"Commander Wnx"']	wnx	mt	0.715650379658	wnx
291	LegaSuite	['"LegaSuite"']	legasuite	tl	0.999802649021	legasuite
1087	Cisco Aggregation Services Routers	['"ASR 1000"']	asr	uz	0.46875	century
6591	Nirvanix	['CloudComplete']	cloudcomplete	en	0.91015625	cloudcomplete
6592	Datapipe	['Stratosphere']	stratosphere	en	1	stratosphere
1084	Cisco Edge Routers	['"Cisco 10008"', '"Cisco 7603"', '"Cisco 7604"', '"Cisco 7606"', '"Cisco 7609"', '"Cisco 7613"']	cisco	en	0.834645688534	cisco
1083	Cisco Mobile Wireless Routers	['"MWR 2900"', '"MWR 1900"']	mwr	cy	1	MWR
1120	SAS Cloud Analytics	['"SAS OnDemand"']	ondemand	en	1	ondemand
194	ESET	['"Eset NOD32"', '"Eset Cybersecurity"', '"Eset Smart Security"']	security	en	0.98828125	security
1122	SAS ETL	['"SAS ELT"']	elt	hu	0.319066137075	disappear
1123	SAS Forecast Server	['"SAS Time Series"']	series	en	0.911196887493	series
270	JNetDirect	['JDataConnect', 'JSQLConnect', '"Repertoire 8"', 'DBMoto']	dbmoto	en	1	dbmoto
4657	HP LEFTHAND P4000	['"LEFTHAND P4000"']	lefthand	en	1	lefthand
274	Juniper Networks (Unspecified Product)	['"Juniper Networks"', 'rout AND "Juniper Networks"', 'firewall AND "Juniper Networks"']	firewall	en	0.702702701092	firewall
276	KANA Software	['"KANA Enterprise"']	enterprise	en	0.945098042488	enterprise
4659	NetApp FAS3200	['FAS3210', 'FAS3240', 'FAS3270']	fas	ca	0.247104242444	you do
4550	IBM System p Server	['"RS\\/6000"']	rs	en	0.848249018192	rs
628	Microsoft PowerPoint	['"Power Point"']	point	en	0.848249018192	point
520	Citrix Branch Repeater	['NetScaler AND "Branch Repeater"']	repeater	en	0.7109375	repeater
526	Citrix NetScaler	['Citrix AND MPX']	mpx	cs	0.482625484467	Mpx
527	Citrix Cloud Gateway	['citrix AND "CloudGateway"']	cloudgateway	af	0.999898791313	cloudgateway
1018	Adobe Digital Marketing Suite	['"Adobe Digital Marketing"']	marketing	en	0.686046540737	marketing
1013	VMware Mobile Virtualization Platform	['VMware AND "Horizon Mobile"']	mobile	en	0.680769205093	mobile
