product_id	product_name	original pattern	token and separated token	detected_language	confidence_score	translated_language 
9076	Host Analytics	['"Host Analytics"']	analytics	en	0.618677020073	analytics
9077	Cognos Disclosure Management	['"Cognos Disclosure Management"']	management	en	0.934108555317	management
9074	Palisade Systems	['"Palisade Systems"', '"Palisade DLP"', '"Palisade Data Monitor"', '"Palisade SDK"', '"Palisade Web"']	web	en	0.596899211407	web
9075	Verdasys	['Verdasys', '"Digital Guardian"']	guardian	en	0.921875	guardian
9072	Fidelis Cybersecurity Solutions	['"Fidelis Cybersecurity"', '"Fidelis XPS"', '"Fidelis Security Systems"']	systems	en	0.98046875	systems
9073	GTB Technologies	['"GTB Technologies"', '"GTB DLP"', '"GTB Inspector"', '"GTB Endpoint"', '"GTB eDiscovery"']	ediscovery	en	1	ediscovery
9070	nCircle	['nCircle']	ncircle	en	1	ncircle
9071	Code Green Networks	['"Code Green Networks"', '"TrueDLP"']	truedlp	lb	0.803990900517	truedlp
9078	Oracle Crystal Ball	['Oracle AND "Crystal Ball"']	ball	en	0.887159526348	ball
9079	Prophix	['Prophix']	prophix	en	0.494071155787	prophix
4783	Siemens Teamcenter	['"Teamcenter PLM"']	plm	ro	0.51953125	Plm
8866	Oracle Cash and Treasury Management	['Oracle AND "cash Management"', '"Oracle Cash AND Treasury Management"']	treasury	en	1	treasury
8867	Polaris FT	['"Polaris Intellect"']	intellect	en	0.903100788593	intellect
8864	Visual Risk	['"Visual Risk" treasury']	treasury	en	1	treasury
8865	Thomson Reuters Eikon	['Eikon']	eikon	ro	0.890625	Eikon
8862	CA Product Vision	['"CA Product Vision"']	vision	en	0.817120611668	vision
8863	Chesapeake System Solutions	['"Chesapeake System Solutions"', '"Global Treasury Systems"', '"SmartTreasury"']	smarttreasury	no	0.713725507259	Smart treasury
8861	TippingPoint	['"TippingPoint S2500N"', '"TippingPoint S1200N"', 'TippingPoint', '"HP NGIPS"', '"TippingPoint S1500"', '"WebAppDV"', '"CloudArmour"', '"ThreatLinQ"']	threatlinq	en	1	threatlinq
9285	Practice Mojo	['"Practice Mojo"', 'PracticeMojo']	practicemojo	en	0.918287932873	practicemojo
9284	Patient Activator	['"Patient Activator"']	activator	en	0.98828125	activator
9287	CustomerLink	['CustomerLink']	customerlink	en	1	customerlink
9286	Mechanic Net	['"Mechanic Net"', 'MechanicNet']	mechanicnet	en	0.76953125	mechanicnet
9281	Smile Reminders	['"Smile Reminders"']	reminders	en	1	reminders
9280	Lighthouse 360	['"Lighthouse 360"']	lighthouse	en	1	lighthouse
8868	Cloudscaling	['Cloudscaling', '"Open Cloud System"']	system	en	0.9296875	system
8869	ENKI	['ENKI', 'PrimaCloud']	primacloud	en	0.494208484888	primacloud
8909	arcplan	['arcplan']	arcplan	en	1	arcplan
8908	AgileZen	['AgileZen']	agilezen	eu	0.999971330166	agilezen
8905	Bentley EADOC	['EADOC']	eadoc	gd	0.588616192341	eadoc
8904	AccuBuild	['AccuBuild', '"Accu\\-Build"']	build	en	1	build
8907	Kanban Tool	['"Kanban Tool"', '"KanbanTool"']	kanbantool	ja	0.578125	Kanbantool
8906	FlowBreeze	['FlowBreeze', 'BreezeTree']	breezetree	en	1	breezetree
8900	Viewpoint Construction Software	['"Viewpoint Construction"']	construction	en	0.87109375	construction
8903	Microsoft Dynamics SL	['"Microsoft Dynamics SL"', '"MS Dynamics SL"', '"MicrosoftDynamics SL"', '"MSDynamics SL"', '"Dynamics SL"', '"DynamicsSL"', '"Dynamics Solomon"']	solomon	en	0.696498036385	solomon
8902	Maxwell Systems	['"Maxwell Systems"', 'ProContractorMX', 'Maxwell AND "American Contractor"']	contractor	en	1	contractor
6355	Symantec Athena	['Symantec AND "Mobile Management for Configuration Manager"']	manager	en	0.813953459263	manager
7121	Extreme Networks	['ExtremeXOS', '"BlackDiamond X8"']	blackdiamond	en	1	blackdiamond
5267	HP Officejet	['Officejet']	officejet	lv	0.401574790478	officejet
5262	HP 3PAR	['"StoreServ 7000"', '"StoreServ 7400"', '"StoreServ 7200"', '"StoreServ 10000"']	storeserv	en	1	storeserv
9228	EDS	['"Electronic Data Systems"', 'EDS AND HP', 'EDS AND GM', '"EDS Corporation"', '"Electronic Data Systems" AND EDS']	electronic data systems and eds	en	0.232729658484	electronic data systems and eds
1066	Rally Software	['"Rally Enterprise"', '"Rally eXpress"']	express	en	0.76953125	express
5220	Good Technology	['"Good Share"', '"Good Connect"', '"Good Technology" AND MDM']	mdm	en	0.6015625	mdm
199	Cincom Eloquence	['eValid AND Test']	test	en	0.764705896378	test
192	EPM Live	['"EPMLive"']	epmlive	ht	0.179621309042	epmlive
271	Jolly Giant	['"QWS3270"']	qws	lv	0.901960790157	qws
4656	HP EVA	['"EVA 6000"', '"EVA 4000"', '"EVA 8000"', '"EVA P6550"', '"EVA P6500"']	eva p	sv	0.131593421102	Eva p
276	KANA Software	['"Kana Express"', 'Trinicom']	trinicom	co	1	Trinicom
8733	HP EliteBook	['EliteBook']	elitebook	vi	0.55078125	Elitebook
9155	Copper Project	['"Copper Project"']	project	en	0.96875	project
9154	Jama Contour	['"Jama Contour"']	contour	en	0.83003950119	contour
9157	Ganttic	['Ganttic']	ganttic	fy	0.999503135681	ganttic
5000	Sage Nonprofit	['"Sage Millennium"', '"Sage Fundraising"', '"Sage Grant Management"']	management	en	0.934108555317	management
5006	Fishbowl Inventory	['Fishbowl AND Pipeline']	pipeline	en	0.949806928635	pipeline
9153	Binfire	['Binfire']	binfire	fy	0.563053131104	binfire
9152	Basecamp	['Basecamp']	basecamp	id	0.459143966436	Basecamp
9256	EyeconX	['EyeconX']	eyeconx	en	0.76171875	eyeconx
9257	ComputerEase	['ComputerEase']	computerease	en	0.76953125	computerease
9254	NaviNet	['NaviNet']	navinet	hi	0.988221943378	Navinet
9159	HyperOffice	['HyperOffice']	hyperoffice	en	1	hyperoffice
9158	GroveSite	['GroveSite']	grovesite	en	0.96875	grovesite
9250	Adobe Lightroom	['Adobe AND Lightroom']	lightroom	en	0.666666686535	lightroom
9251	BlackLine	['BlackLine']	blackline	en	0.937743186951	blackline
6933	PeopleSoft Risk Management	['"PeopleSoft Risk Management"']	management	en	0.934108555317	management
6931	PeopleSoft Real Estate Management	['"Oracle Real Estate"']	estate	en	0.94140625	estate
9289	AutoVitals	['AutoVitals', '"Auto Vitals"']	vitals	en	0.62890625	vitals
7307	Cisco Local Director	['"Cisco Local Director"', 'Cisco AND LocalDirector']	localdirector	en	1	localdirector
1241	Pivotal Tracker	['"Pivotal Labs"']	labs	en	0.626459121704	labs
334	Newgen	['"Newgen Software"']	software	en	0.736000001431	software
9328	Cisco WebEx Event Center	['"WebEx Event Center"']	center	en	0.914728701115	center
9329	BenefitMall	['CompuPay']	compupay	en	1	compupay
8466	Teletrac	['"Fleet Director" AND field']	field	en	1	field
8467	Trimble	['3Dipsos', 'Trimble AND GeoManager']	geomanager	en	1	geomanager
9322	Engage121	['Engage121']	engage	en	0.80078125	engage
9323	ActiveState	['ActiveState', 'Stackato']	stackato	sv	0.62890625	staccato
9320	HP Client Automation	['"HP Client Automation"', 'HPCA']	hpca	gd	0.0936103016138	hpca
9282	Sesame Communications	['"Sesame Communications"', '"Sesame 24\\-7"']	communications	en	0.921875	communications
9327	RiverMeadow	['RiverMeadow']	rivermeadow	en	0.366795361042	rivermeadow
9324	Servoy	['Servoy']	servoy	en	1	servoy
9325	Enstratius	['Enstratius']	enstratius	la	0.999882340431	enstratius
8940	CORESense	['CORESense']	coresense	en	0.5390625	coresense
8943	Raymark	['Raymark', '"Xpert\\-Series"', '"Xpert\\-Analyzer"', '"Xpert\\-Replenisher"', '"Xpert\\-Planner"']	planner	en	0.9296875	planner
8942	Island Pacific	['"Island Pacific"']	pacific	en	0.909090936184	pacific
8945	Dieselpoint	['Dieselpoint']	dieselpoint	en	0.411764711142	dieselpoint
8944	Attivio	['Attivio']	attivio	it	0.9296875	Active
8947	MarkLogic	['MarkLogic']	marklogic	tr	0.769629240036	Marklogic
8946	dtSearch	['dtSearch']	dtsearch	en	1	dtsearch
8949	Sophia Search	['"Sophia Search"', '"Sophia Digital Librarian"', '"Sophia CDP"']	cdp	fr	0.285714298487	Cdp
8948	Q-Sensei	['"Q-Sensei"', 'QSensei']	qsensei	pt	0.992952227592	I thought
5121	BMC FootPrints	['FootPrints AND Asset', '"FootPrints service"']	service	en	0.843137264252	service
1275	IBM SPSS Data Collection	['mrInterview']	mrinterview	lb	0.941828370094	mrInterview
7378	PayPal	['"corporate Paypal"', '"PayPal frontend"', '"Company Paypal"']	company	en	1	company
9029	ExpensePoint	['ExpensePoint']	expensepoint	en	1	expensepoint
9028	Journyx	['Journyx']	journyx	en	1	journyx
4770	Taleo Performance	['"Taleo Performance Management"']	management	en	0.934108555317	management
9025	SutiExpense	['SutiExpense', 'SutiSoft']	sutisoft	el	0.901279985905	Sutisoft
9024	CoreIMS	['CoreIMS']	coreims	lt	0.878619134426	CORE
9026	InterplX	['InterplX']	interplx	en	0.477099239826	interplx
9021	iMagic Inventory	['iMagic AND Inventory']	inventory	en	1	inventory
9020	Inventoria	['"Inventoria"']	inventoria	en	1	inventoria
9023	SphereWMS	['SphereWMS']	spherewms	en	1	spherewms
4779	Interactive Intelligence	['"Interaction Optimizer"', '"Interaction Tracker"']	tracker	en	0.838461518288	tracker
5229	Tangoe Rule Mobility	['"Rule Mobility"']	mobility	en	0.96875	mobility
8950	X1 Technologies	['"X1 Technologies"', '"X1 Rapid Discovery"', '"X1 Discovery"', '"X1 Professional Client"', '"X1 Social Discovery"']	social	en	0.66409265995	social
5188	Tibco BusinessConnect	['Tibco AND BusinessConnect']	businessconnect	en	0.964705884457	businessconnect
5189	Tibco Foresight	['"Foresight EDISIM"', '"Foresight Instream"']	instream	en	1	instream
5226	McAfee EMM	['McAfee AND "Enterprise Mobility"']	mobility	en	0.96875	mobility
8934	Ammyy	['Ammyy']	ammyy	en	1	ammyy
8935	Microsoft Dynamics RMS	['"Microsoft Dynamics RMS"', '"MS Dynamics RMS"']	ms	en	0.707509875298	ms
8936	iQmetrix	['iQmetrix']	iqmetrix	uz	0.539490699768	iqmetrix
8937	Radiant Systems	['"Radiant Systems"', '"Radiant Systems" AND POS']	pos	id	0.420233458281	post
8930	Data Foundry	['"Data Foundry"']	foundry	en	1	foundry
8931	OneNeck	['OneNeck']	oneneck	eu	0.763007819653	OneNeck
8932	Interxion	['Interxion']	interxion	en	0.98046875	interxion
8933	Radmin	['Radmin']	radmin	en	0.9609375	radmin
8831	Aptean	['"Axis ERP"', '"Catalyst WMS"', '"DTR ERP"', '"Factory MES"', '"Knova KM"', '"Onyx CRM"', '"Platinum HRM"']	hrm	sv	0.51953125	Hrm
8939	Sage BusinessVision	['BusinessVision']	businessvision	en	0.964705884457	businessvision
9229	Questionmark	['Questionmark', 'QTI AND Perception']	perception	en	0.87109375	perception
9271	HP Business Service Automation	['HP AND "Business Service Automation"', '"HP BSA"']	bsa	id	0.98828125	Bsa
