product_id	product_name	original pattern	token and separated token	detected_language	confidence_score	translated_language 
6615	FalconStor Software	['RecoverTrac']	recovertrac	en	1	recovertrac
10453	Zuken	['Zuken', 'CADSTAR', 'CR5000 AND cad', '"CR\\-5000" AND cad']	cad	ga	0.415384620428	what
10452	Altium	['Altium']	altium	en	1	altium
10451	NetApp E5500	['NetApp AND E5500', 'NetApp AND E5560', 'NetApp AND E5524', 'NetApp AND E5512']	and	en	1	and
10450	NetApp EF Series	['EF540']	ef	is	0.861003875732	if
10457	Highjump Software	['"Highjump Software"', 'TrueCommerce']	truecommerce	en	0.918287932873	truecommerce
10456	eBizNET	['eBizNET']	ebiznet	pl	0.407327026129	Ebiznet
10455	Accellos	['AccellosOne', 'Accellos']	accellos	nl	0.543307065964	Accellos
10454	CadSoft Eagle	['"CadSoft Eagle"']	eagle	en	0.882352948189	eagle
10512	Recommind	['Recommind', 'Axcelerate']	axcelerate	la	1	axcelerate
10513	Symantec Clearwell	['Symantec AND Clearwell', 'Clearwell AND eDiscovery']	ediscovery	en	1	ediscovery
10459	Softeon	['Softeon']	softeon	en	0.419196605682	softeon
10458	Logfire	['Logfire']	logfire	en	1	logfire
10516	AppFolio	['AppFolio']	appfolio	en	1	appfolio
10514	Xerox OmniX	['OmniX']	omnix	la	0.999997317791	omnix
10515	RealPage	['RealPage']	realpage	en	1	realpage
3553	Dell PowerVault Storage Arrays	['PowerVault']	powervault	en	0.73046875	powervault
9288	Mitchell1 eCRM	['"Mitchell1 CRM"']	crm	en	0.8203125	crm
10603	IBM Proventia	['Proventia']	proventia	en	1	proventia
10581	Linode	['Linode']	linode	en	1	linode
10580	Epitomax	['Epitomax']	epitomax	en	0.94140625	epitomax
10583	Salesforce.com Marketing Cloud	['Salesforce AND "Social.com"']	com	pt	0.86770427227	with
10582	Siebel PRM	['"Siebel Partner Relationship"']	relationship	en	1	relationship
10585	Siebel Sales	['"Siebel Sales"', '"Siebel SFA"']	sfa	en	1	sfa
10584	Salesforce.com Sales Cloud	['salesforce AND "sales cloud"', '"Salesforce SFA"']	sfa	en	1	sfa
10587	Cisco Ironport	['Ironport', 'Cisco AND "Outbreak Filters"']	filters	en	0.96875	filters
10586	Oracle NetBeans	['NetBeans']	netbeans	en	0.76171875	netbeans
10589	Mimecast	['Mimecast']	mimecast	sw	0.997281193733	Mimecast
10588	Clearswift	['Clearswift']	clearswift	en	1	clearswift
8903	Microsoft Dynamics SL	['"Solomon Dynamics"', '"SL Solomon"']	sl	bs	0.217898830771	etc.
7046	IBM InfoSphere BigInsights	['BigInsights']	biginsights	hi	1	Biginsights
7042	Oracle Utilities LodeStar	['"Oracle Utilities"']	utilities	en	0.976653695107	utilities
5265	HP CloudSystem	['"Converged Cloud" AND HP', 'CloudSystem AND Matrix', '"CloudSystem Solutions"', '"Cloudsystem Enterprise"']	enterprise	en	0.945098042488	enterprise
5263	HP StoreOnce	['StoreOnce']	storeonce	en	1	storeonce
1065	Microsoft Dynamics AX	['Axapta']	axapta	en	0.8984375	axapta
415	Seapine	['"Surround SCM"', '"QA Wizard Pro"']	pro	cs	0.633204638958	for
1066	Rally Software	['"Rally PPM"', '"Rally Dev"']	dev	en	0.428015559912	dev
10519	CoreLogic Jenark	['Jenark']	jenark	ms	0.861480176449	Jenark
590	Microsoft Dynamics ERP	['"Dynamics ERP"', 'DynamicsERP']	dynamicserp	en	0.65098041296	dynamicserp
1089	ADP Payroll	['"ADP GlobalView"', '"ADP Streamline"', '"ADP Workforce Now"']	now	en	1	now
4657	HP LEFTHAND P4000	['Lefthand AND HP', '"LeftHand SAN"', '"Lefthand Networks"', 'lefthand AND p4k']	lefthand and p k	en	0.220256328583	lefthand and p k
4659	NetApp FAS3200	['FAS3250', 'FAS3220', '"FAS 3270"', '"FAS 3250"', '"FAS 3240"', '"FAS 3220"', '"FAS 3210"', '"FAS 3200"']	fas	ca	0.247104242444	you do
10510	Kroll Ontrack	['"Kroll Ontrack"']	ontrack	en	0.78125	ontrack
10511	Nuix	['Nuix']	nuix	fr	0.870268344879	Nuix
524	GoToTraining	['Citrix AND "Go To Training"']	training	en	0.948818922043	training
525	GoToWebinar	['Citrix AND "Go To Webinar"']	webinar	en	0.911196887493	webinar
526	Citrix NetScaler	['Citrix AND SDX']	sdx	en	1	sdx
521	GoToAssist	['Citrix AND "Go To Assist"']	assist	en	0.98828125	assist
522	GoToMeeting	['Citrix AND "Go To Meeting"']	meeting	en	0.98828125	meeting
523	GoToMyPC	['Citrix AND "Go To My PC"']	pc	en	0.390625	pc
1012	Yardi	['SiteStuff', 'rCash', 'Point2']	point	en	0.848249018192	point
10628	SmarteSoft	['SmarteSoft', 'SmarteScript', 'SmarteQM', 'SmarteTime', 'SmarteLoad']	smarteload	en	0.609375	smarteload
449	Tableau	['VizQL']	vizql	bg	0.842031061649	Vizql
10708	eWayDirect	['eWayDirect']	ewaydirect	so	0.998063802719	ewaydirect
10703	Sailthru	['Sailthru']	sailthru	gd	1	sailthru
10702	Epsilon	['Epsilon']	epsilon	en	0.6484375	epsilon
441	SugarCRM	['"Sugar CRM"']	crm	en	0.8203125	crm
10700	myCOI	['myCOI']	mycoi	la	0.999997198582	Myco
10707	VerticalResponse	['VerticalResponse', '"Vertical Response"']	response	en	1	response
10706	Fathom Online	['"Fathom Online"', 'Fathom AND marketing']	marketing	en	0.686046540737	marketing
10705	Clickback	['Clickback']	clickback	en	0.727626442909	clickback
10704	DataXu	['DataXu']	dataxu	so	0.9990645051	dataxu
106	Blue Coat	['ProxyClient', '"Solera Networks"', 'Crossbeam']	crossbeam	en	1	crossbeam
4812	Alcatel Lucent	['OpenTouch']	opentouch	ht	0.999999701977	opentouch
31	Microsoft Exchange 2000	['"Microsoft Exchange 2k"']	exchange	en	0.976653695107	exchange
8861	TippingPoint	['UnityOne']	unityone	ht	0.917734503746	unityone
998	Cisco Secure Access Control	['Cisco AND "Secure Access Control"']	control	en	0.87890625	control
9410	NoviFlow	['NoviFlow', 'NoviWare', 'NoviKit']	novikit	sl	0.955440223217	novikit
9411	Pica8	['Pica8']	pica	pt	0.470588237047	Sting
9412	Plexxi	['Plexxi']	plexxi	en	1	plexxi
9413	Radware	['Radware', 'DefensePro', 'AppWall', '"APSolute Vision"', 'AppXcel', 'AppDirector']	appdirector	la	0.782006084919	appdirector
9414	Oracle Tekelec	['Tekelec']	tekelec	en	1	tekelec
644	SAP ERP	['SAPERP']	saperp	su	1	saperp
9416	CCBill	['CCBill']	ccbill	en	1	ccbill
9417	Ubercart	['Ubercart']	ubercart	en	1	ubercart
9418	Kalio	['Kalio platform', 'KalioCommerce', 'DMinSite']	dminsite	lt	0.615108966827	DMinSite
9419	UniteU	['UniteU']	uniteu	ca	0.999901235104	Kingdom
10635	Swiftpage	['Swiftpage']	swiftpage	fy	0.549855053425	swiftpage
9431	Hortonworks	['Hortonworks', '"Horton Works"']	works	en	1	works
10633	Ranorex	['Ranorex']	ranorex	sq	1	Ranorex
4957	Microsoft Tablet	['"Microsoft Tablet"']	tablet	en	0.37890625	tablet
10631	Worksoft	['Worksoft']	worksoft	ht	0.66015625	worksoft
10630	Telerik	['Telerik']	telerik	en	0.921875	telerik
330	Quest NetVault	['BakBone']	bakbone	en	1	bakbone
8463	VMware Wanova	['Wanova']	wanova	sn	0.999978542328	They
9325	Enstratius	['"enStratus"', 'Valtira']	valtira	ku	0.999577224255	valtur
