product_id	product_name	original pattern	token and separated token	detected_language	confidence_score	translated_language 
1140	Serena Dimensions CM	['"Dimensions CM"']	cm	en	0.232283458114	cm
10834	SiSense	['SiSense']	sisense	ca	1	sisense
1141	Serena Dimensions RM	['"Dimensions RM"']	rm	en	0.576335906982	rm
10457	Highjump Software	['"High jump Software"']	software	en	0.736000001431	software
4789	BMC Software	['BMCSoftware']	bmcsoftware	so	0.997601926327	bmcsoftware
4783	Siemens Teamcenter	['"Siemens team center"']	center	en	0.914728701115	center
10899	Autotask	['Autotask']	autotask	en	1	autotask
10898	Riversand	['Riversand', 'MDMCenter']	mdmcenter	ny	0.812040090561	mdmcenter
10893	Gnip	['Gnip']	gnip	la	0.206202507019	Gnip
10892	Datasift	['Datasift']	datasift	fi	0.55859375	Datasift
10891	Exide	['Exide', 'Exide AND UPS']	ups	en	0.824902713299	ups
9286	Mechanic Net	['"MechanicNet.com"']	com	pt	0.86770427227	with
9281	Smile Reminders	['"Smile Reminder"']	reminder	en	0.96875	reminder
9280	Lighthouse 360	['LH360']	lh	ar	1	Lh
10895	IBM Content Collector	['"IBM Content Collector"', '"IBM ICC"']	icc	en	0.727272748947	icc
9282	Sesame Communications	['Sesame AND patients', 'ortho AND sesame', 'Sesame AND appointment', '"Sesame dental"']	dental	en	0.918287932873	dental
346	OmniUpdate	['"Omni Update"']	update	en	0.8203125	update
10587	Cisco Ironport	['"Iron port"']	port	en	0.724806189537	port
10589	Mimecast	['"Mime cast"']	cast	en	0.937743186951	cast
992	Veritas Backup Exec	['Symantec AND "BackupExec"']	backupexec	en	1	backupexec
8901	Hard Dollar	['HardDollar']	harddollar	da	0.832577586174	Harddollar
8903	Microsoft Dynamics SL	['"Dynamics SL 7"', '"Dynamics SL 2011"']	sl	bs	0.217898830771	etc.
6356	Veritas InfoScale Operations Manager	['"Veritas Operations Manager"', 'Veritas AND "Command Central"', 'Veritas AND CommandCentral']	commandcentral	en	1	commandcentral
5183	Tibco Business Studio	['Tibco AND BusinessStudio']	businessstudio	en	0.964705884457	businessstudio
7040	Xactly	['"Xactly Sales"', '"Xactly SPM"', '"Xactly commission"']	commission	en	0.87109375	commission
5186	Tibco PortalBuilder	['Tibco AND "Portal Builder"']	builder	en	0.96875	builder
961	PeopleSoft Academic Advisement	['"PeopleSoft Academic"']	academic	en	1	academic
5265	HP CloudSystem	['HP AND CloudSystem', '"HP Cloud System"']	system	en	0.9296875	system
422	Siemens PLM	['Siemens AND "Solid Edge"', 'Siemens AND "SolidEdge"', '"Solid Edge" AND PLM', '"SolidEdge" AND PLM']	solidedge and plm	en	0.440569162369	solidedge and plm
5260	IBM DS3500	['IBM AND DS3500', '"ds 3500"']	ds	pl	0.396887153387	Ds
1168	Hitachi Adaptable Modular Storage	['"AMS 2500"', '"AMS 2300"', '"AMS 2100"', '"AMS 2000"']	ams	ar	0.98828125	Ams
1062	Autonomy Records Manager	['Autonomy AND CARM', '"CA Records Manager"', '"autonomy records manager"']	autonomy records manager	en	0.268368989229	autonomy records manager
1065	Microsoft Dynamics AX	['"Dynamics AX"']	ax	ku	0.83984375	ax
424	Sitecore	['"Site core" AND CMS']	cms	en	0.408560305834	cms
10848	BMC Middleware Management	['BMC AND "Middleware Management"', 'BMC AND BMM', 'QPasa', '"Q Pasa"']	pasa	es	0.592156887054	pass
10808	Microsoft Active Directory Federation Services	['"Active Directory Federation Services"', '"AD FS"', 'ADFS']	adfs	en	1	adfs
10809	Abila	['Abila', 'Avectra']	avectra	fr	0.994561493397	Avectra
10849	BMC Application Transaction Tracing	['Qnami', '"Q nami"', 'BMC AND BMTM', 'BMC AND BATT']	batt	en	0.796812772751	batt
10804	IBM Sterling Managed File Transfer	['"Sterling Managed File Transfer"', '"Sterling MFT"', '"Sterling Commerce MFT"', '"IBM Managed File Transfer"']	ibm	en	0.55078125	ibm
10805	Acteva	['Acteva']	acteva	ca	0.894146502018	acteva
10806	etouches	['etouches']	etouches	en	1	etouches
10807	Eventbrite	['Eventbrite']	eventbrite	en	1	eventbrite
10800	IBM Tivoli Compliance Insight Manager	['Tivoli AND "Compliance Insight Manager"', 'Tivoli AND TCIM', 'IBM AND TCIM']	ibm	en	0.55078125	ibm
10801	Quantum Scalar 10K	['"Scalar 10K"', 'S10K']	s k	en	0.217776656151	s k
10802	Jenzabar	['Jenzabar']	jenzabar	mt	1	jenzabar
10803	Targit	['Targit']	targit	mt	0.8984375	target
591	NetApp Brocade Encryption	['"NetApp BES"']	bes	ar	0.98046875	Bes
593	NetApp Data ONTAP	['"ONTAP 7"', '"NetApp ONTAP"']	netapp	en	0.778656125069	netapp
1121	SAS Data Integration	['"SAS DI"']	di	it	0.69921875	of
1122	SAS ETL	['"SAS Data Management"']	management	en	0.934108555317	management
190	EpicCare	['"Epic Care"']	care	ro	0.6484375	which
19	JD Edwards	['"JD Edward"', '"JDEdward"']	jdedward	en	1	jdedward
274	Juniper Networks (Unspecified Product)	['"juniper SSL"', '"knowledge of juniper"', 'JNCIP', 'JNCIS', 'rout* AND "Juniper Networks"']	networks	en	1	networks
1014	Brightcove	['"bright cove"']	cove	en	0.874509811401	cove
5002	BatchMaster	['"Batch Master"']	master	en	0.715953290462	master
448	Syspro	['"impact ERP"']	erp	nl	0.713178277016	Erp
9258	Infor AMSI	['StarBuilder']	starbuilder	en	0.76171875	starbuilder
10702	Epsilon	['DreamMail', 'Epsilon AND email']	email	en	0.715953290462	email
6408	CGI BestMix	['BestMix']	bestmix	en	1	bestmix
10705	Clickback	['Clickback AND "email marketing"']	marketing	en	0.686046540737	marketing
444	SurveyTracker	['"Survey Tracker"']	tracker	en	0.838461518288	tracker
1134	SAS Base	['"SAS V9"']	sas	el	0.98828125	Sas
8691	Monsoon Commerce	['"Monsoon Edge"', 'Monsoon AND ecommerce', 'Monsoon AND "e\\-commerce"']	commerce	en	0.554263591766	commerce
105	BlackBerry	['"Black Berry"']	berry	en	0.752895772457	berry
4812	Alcatel Lucent	['LCTE']	lcte	ca	0.490560203791	lcte
900	IBM DB2 for z/OS Operating System	['"DB2 zOS"', '"ZOS DB2"']	zos db	en	0.156650304794	zos db
33	Microsoft Exchange 4.0	['"Exchange 4"']	exchange	en	0.976653695107	exchange
32	Microsoft Exchange 5.0	['"Exchange 5"', '"Exchange 5.5"', '"Exchange Server 5"']	server	en	0.716535449028	server
6500	Teradata Database	['"Teradata DBA"']	dba	en	0.677165329456	dba
34	Microsoft Exchange 1.0	['"Exchange 1"']	exchange	en	0.976653695107	exchange
1241	Pivotal Tracker	['"PivotalTracker"']	pivotaltracker	en	0.8515625	pivotaltracker
6379	OmniFocus	['"Omni Focus"']	focus	en	0.937007844448	focus
9413	Radware	['Strangeloop']	strangeloop	en	0.948818922043	strangeloop
644	SAP ERP	['"SAP FS CM"', '"SAP Claims"']	claims	en	1	claims
439	Stylus Studio	['"StylusStudio"']	stylusstudio	en	0.73828125	stylusstudio
10637	Oracle AutoVue	['Oracle AND "Auto Vue"']	vue	fr	0.98046875	view
