product_id	product_name	original pattern	token and separated token	detected_language	confidence_score	translated_language 
9076	Host Analytics	['HostAnalytics']	hostanalytics	sv	0.8203125	Host analytics
11829	Gumgum	['Gumgum']	gumgum	ku	1	eeeee
11542	ASG PRO/JCL	['"projcl"', '"pro\\/jcl"']	jcl	af	0.671875	jcl
11543	ASG Rochade	['Rochade']	rochade	de	1	castling
11540	ASG JCLPREP	['JCLPREP']	jclprep	ca	0.99921053648	jclprep
11541	ASG metaGlossary	['metaGlossary']	metaglossary	el	0.98828125	Metaglossary
11546	Unitrends	['Unitrends', 'ReliableDR']	reliabledr	en	1	reliabledr
11547	Integration Point	['"Integration Point"', 'IntegrationPoint', '"Integration Point" AND FTZ', '"Integration Point" AND export']	export	en	0.856031119823	export
11544	Catalogic	['Catalogic']	catalogic	en	0.631372570992	catalogic
11545	FalconStor RecoverTrac	['RecoverTrac']	recovertrac	en	1	recovertrac
11548	eCustoms	['eCustoms', '"Visual Compliance software"']	software	en	0.736000001431	software
11549	MIC Customs Solutions	['"MIC Customs"']	customs	en	1	customs
4783	Siemens Teamcenter	['Teamcenter AND PDM', '"TeamCenter UA"', '"TeamCenter engineering"', '"TeamCenter enterprise"', '"TeamCenter express"']	express	en	0.76953125	express
11380	Sizmek	['Sizmek', 'MediaMind']	mediamind	it	0.365384608507	Mediamind
11381	Onespot	['Onespot']	onespot	hr	0.73046875	Onespot
11382	ReTargeter	['ReTargeter']	retargeter	en	1	retargeter
11383	RocketFuel	['RocketFuel']	rocketfuel	en	0.9296875	rocketfuel
11384	Sonobi Media	['Sonobi']	sonobi	ja	0.99982881546	Sonobi
11385	SpotXchange	['SpotXchange', '"Spot Xchange"']	xchange	en	0.921875	xchange
11386	Technorati	['Technorati']	technorati	en	0.917322814465	technorati
11388	Triggit	['Triggit']	triggit	it	0.864341080189	Triggit
11389	TubeMogul	['TubeMogul', '"Tube Mogul"']	mogul	en	0.554263591766	mogul
11858	SearchDex	['SearchDex']	searchdex	en	1	searchdex
6969	Dassault ENOVIA	['MatrixOne']	matrixone	en	1	matrixone
10588	Clearswift	['MIMEsweeper']	mimesweeper	en	1	mimesweeper
12068	SalonBiz	['SalonBiz', 'SpaBiz', '"Salon Biz"', '"Spa Biz"']	spa	en	0.486381322145	spa
12069	Schedulicity	['Schedulicity']	schedulicity	en	1	schedulicity
12060	Intershop	['Intershop']	intershop	de	0.73046875	Intershop
6791	CA DADS	['"DADS Plus"']	plus	fr	0.79766535759	more
5303	PTC Windchill	['Windchill AND PLM']	plm	ro	0.51953125	Plm
6721	YSoft	['YSoft']	ysoft	cy	0.946826934814	ysoft
10450	NetApp EF Series	['EF550']	ef	is	0.861003875732	if
6753	CA ControlMinder	['"CA Controlminder"', '"CA Access Control"']	control	en	0.87890625	control
12433	M-Modal	['"M\\-Modal"', '"MModal"']	mmodal	su	0.706040024757	financier
1129	SAS Analytics	['"SAS visual Analytics"']	analytics	en	0.618677020073	analytics
6725	Fiserv Premier	['"Fiserv Precision"', '"Fiserv pcs"', '"Fiserv Premier"', '"Fiserv ITI"', '"premier ITI"']	premier iti	ro	0.190482079983	Premier you
6983	Kenshoo	['Adquant']	adquant	ca	0.999999940395	acquired
11879	AgilOne	['AgilOne']	agilone	eo	0.731893002987	agilone
6387	Apple Xsan	['Apple AND Xsan']	xsan	en	0.96875	xsan
11428	Qualaroo	['Qualaroo', 'KISSinsights']	kissinsights	en	0.918287932873	kissinsights
6729	Oracle Banking	['"Oracle Banking"']	banking	en	0.907692313194	banking
12432	Dolbey	['Dolbey']	dolbey	so	0.955224812031	dolbey
11689	Logicalis	['Logicalis']	logicalis	en	1	logicalis
11688	SAP Project System	['"SAP Project System"', '"SAP PS"', '"SAP Project Systems"']	systems	en	0.98046875	systems
