product_id	product_name	original pattern	token and separated token	detected_language	confidence_score	translated_language 
12819	PeopleStrategy	['"peoplestrategy.com"', '"in peoplestrategy"']	in	en	0.752895772457	in
7000	PRO-WARE Asset Keeper	['AssetKeeper']	assetkeeper	de	1	Assetkeeper
4786	Manhattan Associates	['Manhattan AND WMOS']	wmos	el	1	Wmos
10517	Rentec	['Rentec']	rentec	en	0.96875	rentec
12525	IBM Sterling CPQ	['Sterling AND CPQ', '"Sterling Configure"']	configure	en	0.9609375	configure
12524	SteelBrick	['SteelBrick', 'QuoteQuickly']	quotequickly	ca	0.992814123631	quotequickly
12527	Model N Revvy	['Revvy']	revvy	ru	0.995130896568	Revvy
12526	FPX CPQ	['FPX AND CPQ']	cpq	bg	0.926675736904	Cpq
12521	PROS	['Cameleon', 'PROS AND CPQ']	cpq	bg	0.926675736904	Cpq
12520	TechSmith Camtasia	['Camtasia']	camtasia	en	0.8984375	camtasia
12523	Selectica	['Selectica']	selectica	en	0.930501937866	selectica
12522	Apttus	['Apttus']	apttus	la	0.933937191963	apttus
12529	Infor Product Configurator	['BuyDesign', 'TDCI AND pricing', '"Infor Product Configurator"']	configurator	en	0.91015625	configurator
12528	Cincom Acquire	['"Cincom Acquire"', '"Cincom cpq"']	cpq	bg	0.926675736904	Cpq
12762	Verizon Cloud	['"Verizon Cloud"']	cloud	en	0.763565897942	cloud
810	DB2	['"db/2"']	db	hu	0.56809335947	db
10588	Clearswift	['"mime sweeper"']	sweeper	en	0.937007844448	sweeper
8901	Hard Dollar	['"Hard Dollar estimating"']	estimating	en	1	estimating
1148	Serena Service Manager	['Serena SSM']	ssm	ro	0.76953125	Ssm
12932	Orchard Software	['"Orchard Software"', '"Orchard Harvest"']	harvest	en	0.96875	harvest
12933	Oracle Passlogix	['passlogix']	passlogix	en	1	passlogix
12930	Ontario Systems	['"Ontario Systems"']	systems	en	0.98046875	systems
12931	Optum Webstrat	['Webstrat']	webstrat	sk	0.98046875	WEBSTRA
12936	Verilink	['Verilink']	verilink	tr	0.5390625	Donink
12937	Purkinje	['Purkinje']	purkinje	en	1	purkinje
12934	Pinestar Technology	['Pinestar']	pinestar	en	0.6015625	pinestar
7269	Zuora	['"Z Business"']	business	en	0.957198441029	business
12938	QS/1	['"QS/1"', 'QS1']	qs	en	0.52362203598	qs
12939	Questica	['Questica']	questica	en	0.767716526985	questica
713	VMware vCenter Orchestrator	['VMware AND vCO']	vco	ms	0.76171875	VCO
12701	Impulse Point	['"Impulse Point"', 'SafeConnect']	safeconnect	en	1	safeconnect
12700	Akamai CDN	['"Akamai CDN"', '"aura CDN"']	aura	fr	0.701960802078	will have
12703	Alert Logic	['"Alert Logic"', 'AlertLogic']	alertlogic	en	1	alertlogic
12702	InfoExpress	['InfoExpress', '"Info Express"']	express	en	0.76953125	express
12705	OSSEC	['OSSEC']	ossec	la	0.936118662357	ossec
12704	CloudPassage	['CloudPassage']	cloudpassage	ca	0.999999046326	cloudpassage
12707	Cisco MX200	['Cisco AND MX200']	mx	en	0.44140625	mx
12706	IBM ExperienceOne	['IBM AND ExperienceOne']	experienceone	en	0.802325606346	experienceone
12709	Cisco VCS-E	['"VCS\\-E"', '"Video Communications Server Expressway"', '"VCS Expressway"', 'Cisco AND VCS AND Expressway']	and	en	1	and
12708	Cisco MX300	['Cisco AND MX300']	mx	en	0.44140625	mx
6844	CA Optimizer/II	['"Optimizer/II"']	ii	ro	0.41015625	Ii
12806	Whitespark	['Whitespark']	whitespark	en	0.98046875	whitespark
5262	HP 3PAR	['3PAR InServ', '3PAR E200', '3PAR F200', '3PAR F400', '3PAR S400', '3PAR S800', '3PAR T400', '3PAR V400', '3PAR V800']	par v	fr	0.111220948398	By v
12668	Leapfrog	['Leapfrog AND Geological modelling', 'Leapfrog AND 3D', 'Leapfrog AND mining']	mining	en	1	mining
12669	VMware ESX 3.0	['"ESX 3.0"', '"ESX 3.x"']	esx x	en	0.222563043237	esx x
12666	Wolters Kluwer hCue	['hCue']	hcue	gl	0.995857656002	hcue
12667	RungePincockMinarco	['RungePincockMinarco', 'XPAC AND mine', 'XPAC AND mining', 'XACT AND mine', 'XACT AND mining', 'TALPAC', 'DRAGSIM']	dragsim	tl	0.999869465828	dragsim
12664	nettime solutions	['nettime']	nettime	en	1	nettime
12665	InfoTronics	['InfoTronics']	infotronics	eu	0.53125	infotronics
12662	TimeAmerica	['TimeAmerica']	timeamerica	la	1	timeamerica
12663	Wasp Barcode	['Wasp AND Barcode', 'WaspBarcode']	waspbarcode	nl	0.275875836611	Wasp barcode
12660	NOVAtime	['NOVAtime', '"NOVA time"']	time	en	1	time
12661	SwipeClock	['SwipeClock', '"swipe clock"']	clock	en	1	clock
12805	UBL Interactive	['UBL SEO', 'UBL search marketing']	marketing	en	0.686046540737	marketing
12518	Vision Solutions Double-Take	['"Double\\-Take"', 'DoubleTake']	doubletake	en	1	doubletake
12807	Adaptive Computing	['Adaptive MOAB']	moab	en	0.713740468025	moab
199	Cincom Eloquence	['Cincom AND Eloquence']	eloquence	en	1	eloquence
12896	NaviCare	['NaviCare', '"hill-rom certified"', '"hill-rom hospital"', '"Hill-Rom rental"']	rental	en	0.98046875	rental
12454	Tecsys	['Tecsys']	tecsys	cy	0.661500513554	tecsys
12804	Vendasta	['Vendasta']	vendasta	pt	0.8984375	Salesta
12798	CA Mobile Cloud	['"CA Mobile Cloud"']	cloud	en	0.763565897942	cloud
12799	CA Release Automation	['"CA Release Automation"', '"Lisa Release Automation"']	lisa	et	0.424710422754	more
1019	Adobe SearchCenter+	['"SearchCenter+"']	searchcenter	en	1	searchcenter
12792	Google Cloud Platform	['"Google Cloud Platform"', '"Google Cloud Computing"']	computing	en	0.98828125	computing
12793	CA Service Virtualization	['"CA Service Virtualization"', '"LISA Virtualize"']	virtualize	en	1	virtualize
12790	AcuStaf	['Acustaf']	acustaf	is	0.942622363567	acustaf
12791	TinderBox	['TinderBox']	tinderbox	en	1	tinderbox
12796	CA Data Finder	['"CA Data Finder"', '"CA DataFinder"']	datafinder	en	1	datafinder
12797	CA Cloud Test	['"CA Cloud Test"', '"CA CloudTest"']	cloudtest	nl	0.942837536335	Cloud test
12794	CA Application Test	['"Lisa Test"']	test	en	0.764705896378	test
12795	CA Continuous Application Insight	['"CA Continuous Application Insight"', '"Lisa Pathfinder"']	pathfinder	en	0.8515625	pathfinder
12594	Varian ARIA	['Varian AND ARIA']	aria	it	0.81496065855	air
12595	GE Flowcast	['"GE Flowcast"']	flowcast	cy	0.999492287636	flowcast
12596	Insulet	['Insulet', 'Omnipod AND insulin']	insulin	en	0.918287932873	insulin
12597	Bacterin	['Bacterin']	bacterin	en	1	bacterin
12590	Philips Achieva	['Philips AND Achieva']	achieva	en	1	achieva
12591	Toshiba Aquilion	['Aquilion', 'Aquillion']	aquillion	is	0.521568655968	aquillion
12592	Hologic	['Hologic']	hologic	en	0.937743186951	hologic
12593	Toshiba Vitrea	['Vitrea']	vitrea	la	0.55859375	The glass
12598	Zynex	['Zynex']	zynex	el	0.999994635582	Zynex
12599	Siemens Kinetdx	['Kinetdx']	kinetdx	az	0.699245989323	kinetdx
12848	McKesson Per-Se	['"Per Se" MCO', '"Per Se Technologies"']	technologies	en	0.87890625	technologies
12842	Sophos UTM	['Sophos UTM', 'Astaro']	astaro	en	0.76953125	astaro
12843	athenaCommunicator	['athenaCommunicator', '"athena communicator"']	communicator	en	1	communicator
12840	Aspyra	['Aspyra']	aspyra	lt	0.912670314312	aspyra
12841	DoubleDutch	['DoubleDutch']	doubledutch	en	0.87109375	doubledutch
12846	Boston WorkStation	['"Boston WorkStation"']	workstation	en	0.82677167654	workstation
12847	Bottomline Optio	['"Optio Software"', '"Optio Reports"', '"o Optio o"', '"Optio Forms"', '" , Optio,"']	forms	en	1	forms
