product_id	product_name	original pattern	token and separated token	detected_language	confidence_score	translated_language 
9077	Cognos Disclosure Management	['"Cognos CDM"']	cdm	it	0.8203125	Cdm
11823	GenesisMedia	['"Genesis Media"']	media	en	0.657587528229	media
6723	Xerox Color 800	['"Xerox 800"']	xerox	en	0.554263591766	xerox
13358	IPAC Administrator	['"IPAC Administrator"', '"Infection Prevention and Control Administrator"']	control	en	0.87890625	control
13089	QuickSilver	['Broadvision QuickSilver', 'Interleaf QuickSilver', 'Quicksilver desktop', 'Quicksilver publishing']	publishing	en	0.9609375	publishing
13088	Corel Ventura	['"Corel Ventura"']	ventura	en	0.509727597237	ventura
13085	CareFusion Viasys	['Carefusion Viasys', 'viasys respiratory']	respiratory	en	1	respiratory
13084	CareFusion MedMined	['MedMined']	medmined	da	1	Medmined
13087	Kronos Visionware	['Visionware']	visionware	en	0.638132274151	visionware
13086	CareFusion PHACTS	['PHACTS']	phacts	zu	0.651001036167	phacts
13081	SchuyLab	['SchuyLab']	schuylab	en	0.98828125	schuylab
13080	Sunquest Flexilab	['Flexilab']	flexilab	la	0.66015625	flexilabris
13083	Quantros MediQual	['MediQual']	mediqual	bg	1	Mediqual
13082	CareFusion Alaris	['"Alaris Smart Pump"', '"alaris pump upgrades"', '"Alaris Pump"']	alaris pump	en	0.55771535635	alaris pump
13243	Questys	['Questys']	questys	pl	0.78125	Questys
13242	Relias Learning	['"Relias Learning"']	learning	en	1	learning
13241	Rycan	['Rycan']	rycan	cs	0.99999666214	Rycan
13169	Drobo	['Drobo']	drobo	en	1	drobo
13247	Redwood REPORT2WEB	['REPORT2WEB']	web	en	0.596899211407	web
13246	Staffing Angel	['"Staffing Angel"']	angel	en	0.621621608734	angel
13245	IQMS	['IQMS ERP', 'EnterpriseIQ']	enterpriseiq	en	0.98046875	enterpriseiq
13244	Nonin Medical	['Nonin', '"Nonin Medical"', '"Nonin SPO2"']	spo	sq	0.383399218321	Spo
13162	Cleo Communications	['Cleo EDI', 'Lexicom EDI', '"Cleo Harmony"', '"Cleo LexiCom"', '"Cleo VLTrader"', '"Cleo A+"', '"Cleo 3780"']	cleo a	en	0.134701415896	cleo a
