product_id	product_name	original pattern	token and separated token	detected_language	confidence_score	translated_language 
14065	NetApp AltaVault	['AltaVault']	altavault	tl	0.87890625	altavault
14191	Dynatrace User Experience Management	['Dynatrace UEM', 'Dynatrace "User Experience Management"']	management	en	0.934108555317	management
14170	Wild Apricot	['WildApricot', '"Wild Apricot"']	apricot	en	0.98828125	apricot
14171	Wordfence	['Wordfence']	wordfence	no	0.66015625	Wordfence
14196	Live365	['Live365']	live	en	0.86274510622	live
14179	JobAdder	['JobAdder']	jobadder	af	0.544340610504	jobadder
14197	LiveEdit	['LiveEdit']	liveedit	ig	0.780883610249	liveedit
13737	SiteScout	['SiteScout']	sitescout	en	1	sitescout
13736	Sucuri	['Sucuri']	sucuri	ro	0.94140625	juices
13735	TypeForm	['TypeForm']	typeform	nl	1	Typeform
13734	Medworxs	['Medworxs']	medworxs	el	0.999498665333	Medworxs
13733	Practising Law Institute	['"practising law institute"', '"practicing law institute"']	practicing	en	1	practicing
13732	TurboCourt	['TurboCourt', '"Turbo Court"']	court	en	0.9609375	court
13731	Journal Technologies	['JustWare']	justware	pl	0.503971815109	Justware
13730	TransUnion TLOxp	['TLOxp', '"TLO xp"']	xp	en	0.604651153088	xp
11982	Volusion Livechat	['Volusion Livechat']	livechat	en	0.41015625	livechat
14074	AdKeeper	['AdKeeper']	adkeeper	af	0.999982178211	AdKeeper
14076	AdMarvel	['AdMarvel']	admarvel	et	0.875589132309	admarvel
14071	Adconion	['Adconion']	adconion	en	1	adconion
14070	Adbutler	['Adbutler']	adbutler	en	1	adbutler
13739	Dstillery	['Dstillery']	dstillery	da	0.741394162178	Dstillery
13738	BugHerd	['BugHerd', '"bug herd"']	herd	en	0.828125	herd
14146	FareHarbor	['FareHarbor', '"Fare Harbor"']	harbor	en	0.976653695107	harbor
11387	TribalFusion	['"Tribal Fusion" adv*']	adv	en	0.494208484888	adv
11853	ReachLocal	['"with ReachLocal"']	reachlocal	ga	1	ReachLocal
14063	Dell DR6000	['Dell DR6000']	dr	en	0.338521391153	dr
12105	Pure360	['Pure360', '"Pure 360"']	pure	en	0.602316617966	pure
7041	Moxie Software	['nGenera']	ngenera	jw	1	headed
13603	ABELMed	['ABELmed']	abelmed	da	0.999969601631	Abelmed
13602	Azalea Health	['simplifyMD']	simplifymd	en	0.71875	simplifymd
10965	McAfee Advanced Threat Defense	['McAfee "Advanced Threat Defense"']	defense	en	1	defense
13600	ACOM Health	['"Acom Health"', '"Rapid EHR"']	ehr	de	0.96875	Honest
13607	Acrendo	['Acrendo', '"A.I.Med"']	med	sv	0.420233458281	with
13606	Acmeware	['Acmeware', 'OneView EMR', 'OneView EHR']	ehr	de	0.96875	Honest
13605	Abraxas EMR	['Abraxas EMR']	emr	tr	0.76171875	Order
13604	Crystal PM	['"Crystal PM"', '"Crystal Practice Management"']	management	en	0.934108555317	management
14181	Kaango	['Kaango']	kaango	ceb	1	kaango
13609	MedicsDocAssistant	['Medics DocAssistant']	docassistant	la	0.546939373016	docassistant
13608	WritePad	['WritePad']	writepad	en	1	writepad
14185	Embark	['"Embark.com"', '"Embark online application"']	application	en	0.890625	application
14184	Launchrock	['Launchrock']	launchrock	en	0.98046875	launchrock
14186	Dynatrace Adlex	['Dynatrace Adlex']	adlex	zu	0.940148830414	adlex
14079	AdOcean	['AdOcean']	adocean	pl	0.647670149803	Adocean
14047	Pepco Energy	['"Pepco Energy"']	energy	en	1	energy
12109	Vision6	['"using Vision6"', '"Vision6 reporting"', '"on Vision6"']	on	en	0.828125	on
4550	IBM System p Server	['eserver pseries', 'IBM pSeries']	ibm	en	0.55078125	ibm
14129	InMotion Hosting	['InMotionHosting', 'InMotion Hosting']	hosting	en	0.62890625	hosting
14073	AdGear	['AdGear']	adgear	gd	0.533788502216	adgear
14072	Addemar	['Addemar']	addemar	en	0.80859375	addemar
13904	Avadyne Health	['", Avadyne"', '"GPS Avadyne"']	gps	en	0.466403156519	gps
13905	Baxter Baxa	['Baxa pump', 'Baxa EM2400', 'Baxa IV', 'Baxa Pharmacy']	pharmacy	en	1	pharmacy
13906	Baxter Planning	['"Baxter Inventory"', '"Baxter Planning System"', '"Baxter Planning tool"', '"Baxter Planning Software"']	software	en	0.736000001431	software
13907	Outbound Call Center	['"Outbound Call Center"']	center	en	0.914728701115	center
13900	Logibec	['Clinibase']	clinibase	ca	0.270845383406	clinibase
13901	Askesis	['Askesis', 'PsychConsult']	psychconsult	ru	0.83624881506	Psychconsult
13869	Dataminr	['Dataminr']	dataminr	pl	0.616600811481	Dataminr
13868	ZestFinance	['zestfinance']	zestfinance	lb	0.98633480072	zestfinance
13867	Kreditech	['Kreditech']	kreditech	cs	1	Credit
13866	OnDeck Capital	['"Ondeck funding"']	funding	en	1	funding
13865	VMware vRealize	['vRealize']	vrealize	ro	0.899951577187	Vandalism
13863	SafeSoft	['SafeSoft']	safesoft	en	1	safesoft
13862	Talkdesk	['Talkdesk']	talkdesk	lb	0.993235588074	talkdesk
13860	Unanet	['Unanet']	unanet	la	0.502041101456	Unanet
12241	ForeSee	['cxReplay Foresee']	foresee	en	1	foresee
12081	Xt-commerce	['"Xt-commerce"', 'Xtcommerce']	xtcommerce	fr	0.587292611599	Xtcommerce
12122	Adobe Typekit	['Typekit']	typekit	ga	0.5390625	Typekit
14030	G&W Electric	['"G&W Electric"']	electric	en	0.94140625	electric
14033	Klarna	['klarna pay*', '"via Klarna"', '"Klarna Checkout"']	checkout	en	1	checkout
14032	Ecobee	['Ecobee']	ecobee	nl	0.83968937397	Ecobee
14035	Brillio	['Brillio']	brillio	en	0.91015625	brillio
14034	Ormazabal	['Ormazabal']	ormazabal	eu	0.9296875	Ormazabal
14037	Zigbee Alliance	['zigbee']	zigbee	en	0.96875	zigbee
14036	Basler Electric	['Basler relay*']	relay	en	0.961240291595	relay
14039	Tridium	['"Niagara AX"', '"Niagara Analytics Framework"', 'Tridium Niagara', '"Tridium controls"']	controls	en	0.98828125	controls
14038	Vivint	['Vivint "smart home"']	home	en	0.945525288582	home
336	CA Unified Infrastructure Management	['CA "Unified Infrastructure Management"', '"CA UIM"']	uim	la	0.727272748947	attack
11942	StackPath	['MaxCDN']	maxcdn	en	1	maxcdn
14135	Alibaba	['Alibaba']	alibaba	it	0.48046875	Alibaba
11229	Evidon	['Ghostery', '"Evidon tags"']	tags	en	0.741176486015	tags
11225	Chango	['", chango,"']	chango	es	0.848249018192	monkey
14019	Beta Systems SAM	['Garancy']	garancy	hu	0.4609375	garancy
853	Dell EMC Symmetrix	['Symmetrix']	symmetrix	en	1	symmetrix
14018	Kaseya AuthAnvil	['AuthAnvil']	authanvil	hi	1	Authanvil
9348	HP MSL2024	['"tape Library" and "msl 2024"']	msl	en	0.51171875	msl
14016	N-TRON	['"N-TRON"']	tron	en	0.268482476473	tron
12331	LoginRadius	['LoginRadius']	loginradius	en	0.62109375	loginradius
13647	eMedRec	['eMedRec']	emedrec	ig	0.807654321194	emedrec
13646	HCS eMR	['"HCS eMR"']	emr	tr	0.76171875	Order
13645	HCA hCare	['HCA hCare']	hcare	ru	0.458087831736	Hcare
13644	Chiro QuickCharts	['Chiro QuickCharts']	quickcharts	en	0.96875	quickcharts
13643	GeniusDoc	['GeniusDoc']	geniusdoc	en	0.86770427227	geniusdoc
13642	Genius Solutions	['"Genius Solutions"', 'eTHOMAS', 'ehrTHOMAS']	ehrthomas	de	1	Honorable
13641	Centricity Perinatal	['Centricity Perinatal']	perinatal	en	0.890625	perinatal
13640	Future Health	['"Future Health software"', 'eConnect EHR']	ehr	de	0.96875	Honest
14145	eKomi	['eKomi']	ekomi	de	0.921875	Ekomi
7002	Marketwire	['Marketwired']	marketwired	en	0.885826766491	marketwired
13648	ICANotes	['ICANotes']	icanotes	el	0.996147334576	Icanotes
13885	Tiger Technology metaSAN	['metaSAN']	metasan	el	0.945379912853	Metasan
13884	Alt-N Technologies	['"Alt-N"', '"MDaemon Messaging Server"']	server	en	0.716535449028	server
13887	Nexonia	['Nexonia']	nexonia	sq	0.999998867512	Nexonia
13886	Rorke Data	['"Rorke Data"', 'Rorke SAN', 'Rorke RAID']	raid	en	0.73540854454	raid
13881	CallMiner	['CallMiner', 'myeureka', '"call miner"']	miner	en	0.772549033165	miner
13880	PatientWorks	['PatientWorks']	patientworks	en	0.8515625	patientworks
13883	Allscripts Eclipsys EPSi	['Eclipsys EPSi', '"Sunrise EPSi"']	sunrise	en	0.843137264252	sunrise
13882	Castlight Health	['"Castlight Health"']	health	en	1	health
13889	McKesson Cardiology	['"McKesson Cardiology"']	cardiology	en	1	cardiology
13888	Hubble	['hubble performance manag*', '"hubble report"']	report	en	1	report
11861	Sociomantic	['Sociomantic']	sociomantic	en	1	sociomantic
14199	LiveJournal	['LiveJournal']	livejournal	en	1	livejournal
11279	Hostgator	['"Hostgator hosting"', '"HostGator site"']	site	en	0.696850419044	site
13841	FlexNet Licensing	['"FlexNet Licensing"', 'FLEXlm', '"FlexNet Manager"']	manager	en	0.813953459263	manager
6897	CA VISION:Excel	['"CA VISION:Excel"']	excel	en	0.630769252777	excel
13840	Gemalto Sentinel HASP	['Sentinel HASP']	hasp	en	1	hasp
1376	Dell PowerEdge R810 Rack Server	['"power edge" AND R810']	and	en	1	and
8503	Lunarpages	['"using lunarpages"', '"development of Lunarpages"']	of	en	0.98828125	of
12052	Google Channel Intelligence	['Google "Channel Intelligence"']	intelligence	en	0.91015625	intelligence
12057	Gambio	['Gambio']	gambio	eo	1	Gambia
12059	GetShopped	['GetShopped']	getshopped	nl	0.805103838444	Getshopped
1199	Whamcloud Lustre	['Whamcloud Lustre']	lustre	fr	0.277992278337	chandelier
11595	Docker	['Dockerized']	dockerized	en	0.848249018192	dockerized
14017	NovaTech	['NovaTech', 'NovaTech SABL']	sabl	ar	0.999981462955	Sabl
12759	Kemp Technologies	['"Kemp Loadmaster"']	loadmaster	en	1	loadmaster
7071	Windward	['Windward Javelin', 'Windward AutoQuery']	autoquery	en	1	autoquery
12549	Fortinet FortiGate	['Fortigate']	fortigate	en	1	fortigate
10933	Healthagen	['Healthagen']	healthagen	en	1	healthagen
13948	Severn Trent	['"Severn Trent Water Framework"']	framework	en	1	framework
13949	Milsoft Utility	['Milsoft']	milsoft	ca	0.427823543549	milsoft
13940	Polaris Associates	['"Analyze Polaris"']	polaris	en	0.65098041296	polaris
13941	Paymetric	['Paymetric']	paymetric	en	1	paymetric
13942	Delego	['Delego card', 'Delego SAP', 'Delego pay*']	pay	en	1	pay
13943	Princeton Payment	['"Princeton Payment"', 'CardConnect']	cardconnect	en	0.987814188004	cardconnect
13944	High Radius	['"High Radius"', 'Highradius']	highradius	en	1	highradius
13945	Zonar Systems	['Zonar', 'zfuel']	zfuel	lb	0.983773112297	zfuel
13946	VUEworks	['VUEworks']	vueworks	lb	1	vueworks
1178	MongoDB	['Mongo DBA', 'Mongo "open source"']	source	en	0.91015625	source
11047	Apache Hive	['Hive "Open source"', 'Hive Hadoop']	hadoop	en	0.96875	hadoop
12282	AB Tasty	['"AB Tasty"', 'ABTasty']	abtasty	de	1	Abtasty
13378	Cerner Open Engine	['Cerner OpenEngine']	openengine	nl	1	Openengine
13373	MEDITECH Client/Server	['"client/server 5.66"']	server	en	0.716535449028	server
14112	Enventis	['Enventis']	enventis	gl	1	Envents
11712	MedAssets	['MedAssets "revenue cycle"', 'MedAssets CCA']	cca	cs	0.426356583834	Approx
13834	CA IT Asset Manager	['"CA IT Asset Manager"', '"CA ITAM"']	itam	ms	0.478599220514	Itam
13835	Datadog	['Datadog']	datadog	pt	0.937007844448	Dated
13836	ER/Studio	['"ER/studio"', '"Studio Data Architect"', '"ER studio"', '"ERstudio"']	erstudio	de	0.892706096172	First studio
13837	Dell EMC RSA Adaptive Authentication	['"RSA Adaptive Authentication"']	authentication	en	1	authentication
13830	Jimdo	['JImdo']	jimdo	id	0.859375	Jimdo
13831	CodeMirror	['CodeMirror']	codemirror	la	0.854709506035	codemirror
13833	CA Cloud Service Management	['"CA Cloud Service Management"', '"Nimsoft Service Desk"']	desk	en	0.98828125	desk
14113	Fasthosts	['Fasthosts']	fasthosts	en	0.671875	fasthosts
13838	Dell EMC RSA Via Governance	['RSA "Via Governance"']	governance	en	0.899613916874	governance
13839	Symantec Control Compliance Suite	['Symantec "Control Compliance Suite"']	suite	fr	0.509727597237	after
13972	RuggedCom	['RuggedCom']	ruggedcom	en	1	ruggedcom
13939	EiS Technologies	['"EiS Technologies"']	technologies	en	0.87890625	technologies
13938	ReportsNow	['ReportsNow']	reportsnow	en	0.948818922043	reportsnow
13935	Caphyon	['Caphyon']	caphyon	ja	0.507681250572	Caphyon
13934	Linkdex	['Linkdex']	linkdex	en	0.66015625	linkdex
13937	JD Edwards EnterpriseOne One View	['EnterpriseOne "One View"', 'EnterpriseOne OneView']	oneview	de	0.8515625	Oneview
13936	Ginzametrics	['Ginzametrics']	ginzametrics	co	0.702475011349	ginzametrics
13931	SEOlytics	['SEOlytics']	seolytics	el	0.999968528748	Seolytics
13930	Sycara	['Sycara SEO', 'Sycara local']	local	en	0.779922783375	local
13933	SpyFu	['SpyFu', '"Spy Fu"']	fu	zh-CN	0.8203125	Fu
13932	Majestic	['Majestic SEO', '"site explorer" majestic']	explorer	en	0.666666686535	explorer
14110	Datanyze	['Datanyze']	datanyze	id	0.98046875	Datanyze
13979	Genpact	["Genpact's Intelligent Operations"]	operations	en	1	operations
10666	Apache Tomcat	['Tomcat "Open source"']	source	en	0.91015625	source
12175	Varnish	['Varnish cach*']	cach	vi	0.98828125	way
