product_id	product_name	original pattern	token and separated token	detected_language	confidence_score	translated_language 
11829	Gumgum	['"Gum Gum" ad']	ad	it	0.49612402916	A.D
14679	Fiksu	['Fiksu mobile']	mobile	en	0.680769205093	mobile
14678	Digital Turbine	['"Digital Turbine"']	turbine	en	0.775193810463	turbine
14677	AppLovin	['AppLovin']	applovin	sl	1	applovin
14675	Aerserv	['Aerserv']	aerserv	ro	0.195129349828	Aerserv
14674	Adxcel	['Adxcel']	adxcel	ro	0.765023350716	Adxcel
14673	Adelphic	['Adelphic']	adelphic	en	0.7890625	adelphic
14179	JobAdder	['"Job Adder"']	adder	en	0.98046875	adder
14671	Aarki	['Aarki']	aarki	so	0.999998927116	aarki
14670	140 Proof	['"140 Proof"']	proof	en	1	proof
14711	Kanbanize	['Kanbanize']	kanbanize	ja	0.578125	Kanbanize
6726	Xerox 770	['"Xerox 770"']	xerox	en	0.554263591766	xerox
14076	AdMarvel	['"Ad Marvel"']	marvel	en	0.69921875	marvel
14070	Adbutler	['"ad butler"']	butler	en	0.8203125	butler
14712	Scrumwise	['Scrumwise']	scrumwise	sn	0.999997854233	scrumwise
13161	OrthoView	['"Ortho View"']	view	en	1	view
14350	Hospira Symbiq	['Symbiq']	symbiq	az	0.853243589401	symbiq
14351	CareFusion Alaris EtCO2	['Alaris EtCO2', '"Alaris EtCO2"']	etco	ru	0.28785893321	Etco
14352	Baxter Sigma Spectrum	['"Baxter Sigma"', '"sigma spectrum"', '"sigma infusion"', '"spectrum infusion"', '"sigma pump"']	pump	en	0.97637796402	pump
14353	Smiths CADD Solis	['CADD Solis']	solis	lv	0.369649797678	step
14354	Aclaro Softworks	['Aclaro software', 'Petrolook']	petrolook	en	0.464566916227	petrolook
14355	Energy Navigator	['"Energy Navigator"', '"AFE Navigator"', '"Value Navigator"', '"AFE Nav"', '"Val Nav"']	val	lt	0.354330718517	h
14356	Enersight	['Enersight']	enersight	id	0.44140625	Enersight
14357	Exprosoft	['Exprosoft']	exprosoft	la	0.384640693665	exprosoft
14358	Geologix	['Geologix']	geologix	en	0.666666686535	geologix
14359	Ikon Science	['"Ikon Science"', 'RokDoc']	rokdoc	cs	0.995536983013	Rokdoc
14713	Salesforce Health Cloud	['"Salesforce Health Cloud"']	cloud	en	0.763565897942	cloud
14672	Accengage	['Accengage']	accengage	jw	0.981020689011	accengage
14219	Metrigo	['Metrigo']	metrigo	cy	1	metrigo
14218	Merchant Advantage	['"Merchant Advantage"', '"via MerchantAdvantage"']	merchantadvantage	en	0.964705884457	merchantadvantage
14547	FrontRange GoldMine Premium	['"GoldMine Premium"']	premium	en	0.671875	premium
14211	MartJack	['MartJack']	martjack	sl	0.98828125	martjack
14210	MarketVolt	['MarketVolt']	marketvolt	en	0.885826766491	marketvolt
14213	MediaSpan	['MediaSpan']	mediaspan	es	0.262745112181	Mediaspan
14212	MasteryConnect	['MasteryConnect']	masteryconnect	en	0.6796875	masteryconnect
14215	Meetrics	['Meetrics']	meetrics	et	1	meetrics
14214	Google Meebo	['Meebo']	meebo	en	0.484251976013	meebo
14217	Memberium	['Memberium']	memberium	en	0.890625	memberium
14216	MemberClicks	['MemberClicks']	memberclicks	en	0.890625	memberclicks
5267	HP Officejet	['"Office jet" Printer']	printer	en	0.79766535759	printer
10965	McAfee Advanced Threat Defense	['"McAfee Advanced Threat Defense"', '"Mcafee ATD"']	atd	cs	0.890625	etc
6799	CA DUO	['"CA DUO"']	duo	en	0.957198441029	duo
14540	ArchiOffice	['ArchiOffice']	archioffice	cy	0.999642133713	archioffice
14612	Cisco ASA 5540	['"ASA 5540"', 'ASA5540']	asa	ro	0.616600811481	so
14492	PeopleHR	['PeopleHR']	peoplehr	en	1	peoplehr
14542	Bullhorn CRM	['"Bullhorn CRM"']	crm	en	0.8203125	crm
14325	Zebra ZM600	['Zebra ZM600', 'Zebra "ZM 600"']	zm	pl	0.937007844448	Zm
14324	Zebra ZM400	['Zebra ZM400', 'Zebra "ZM 400"']	zm	pl	0.937007844448	Zm
14455	Artificial Solutions	['"Artificial Solutions"', '"using Artificial Solutions"']	using	en	1	using
14454	Arago AutoPilot	['Arago AutoPilot']	autopilot	en	0.83011585474	autopilot
14321	Motorola Symbol	['"Motorola Symbol"']	symbol	en	0.6484375	symbol
14320	Honeywell Dolphin	['"Honeywell Dolphin"']	dolphin	en	0.854901969433	dolphin
14323	Zebra Z4M	['Zebra Z4M']	zebra	en	0.625984251499	zebra
14322	PatientTouch	['PatientTouch']	patienttouch	en	0.8515625	patienttouch
14596	Keysight EESof	['EESof', 'Keysight EDA', '"Keysight ADS"']	ads	en	0.98828125	ads
14594	Cisco Catalyst 6509-E	['Cisco "6509-E"']	cisco	en	0.834645688534	cisco
14546	SnapHRM	['SnapHRM']	snaphrm	hi	0.899769604206	Snaphrm
14329	Zebra 2844	['Zebra 2844']	zebra	en	0.625984251499	zebra
14328	Zebra Xi4	['Zebra Xi4']	xi	zh-CN	0.94140625	Xi
14459	Digital Reasoning	['"Digital Reasoning"']	reasoning	en	1	reasoning
14458	CustomerMatrix	['CustomerMatrix']	customermatrix	en	1	customermatrix
14695	PressKing	['PressKing']	pressking	en	1	pressking
14694	MediaMiser	['MediaMiser']	mediamiser	it	0.365384608507	Mediamiser
14697	TrendKite	['TrendKite']	trendkite	no	0.325581401587	Trendkite
14696	Celergo	['Celergo']	celergo	la	1	celergo
14691	goPRit	['goPRit']	goprit	fr	0.857327640057	Goprit
14690	Yieldmo	['Yieldmo']	yieldmo	so	0.999457716942	yieldmo
14693	ISEBOX	['ISEBOX']	isebox	xh	0.64184230566	Xbox
14692	IrisPR	['"Iris PR"', 'IrisPR']	irispr	mt	0.999804973602	irispr
14699	Zignal Labs	['Zignal']	zignal	xh	0.583198785782	signal
14698	Vuelio	['Vuelio']	vuelio	es	0.999639093876	He returned
1017	Adobe SocialAnalytics	['"Adobe Online Marketing Suite"', '"Adobe Social Analytics"']	analytics	en	0.618677020073	analytics
102	Beagle Software	['Beagle Clockwatch']	clockwatch	en	1	clockwatch
902	IBM Security AppScan	['"Security AppScan"', 'Rational AppScan', '"AppScan Standard"', '"AppScan Enterprise"', '"AppScan Source"', '"AppScan Dynamic"', '"AppScan Mobile"']	mobile	en	0.680769205093	mobile
14440	BigTime	['BigTime billing']	billing	en	0.98046875	billing
14521	Avaya Sipera	['Sipera']	sipera	sn	0.394301503897	sipera
38	Webroot	['"Webroot Secure Anywhere"']	anywhere	en	1	anywhere
14527	PandaDoc	['PandaDoc', '"Panda Doc"']	doc	en	0.51171875	doc
14526	MEDxConnect	['MEDxConnect', '"Compressus"']	compressus	la	0.76953125	compressed
14525	Brother OmniJoin	['OmniJoin']	omnijoin	fi	0.938299298286	Omnijoin
13439	Konica Minolta Acies	['Konica Acies']	acies	la	1	line
14529	Image Stream Medical	['"Image Stream Medical"']	medical	en	0.96875	medical
14528	HealthLinkNow	['HealthLinkNow']	healthlinknow	en	1	healthlinknow
14442	Bitrix24	['Bitrix24', '"Bitrix 24"']	bitrix	en	0.62109375	bitrix
14443	Breezy HR	['"Breezy HR"']	hr	en	0.633204638958	hr
14689	Trumpia	['Trumpia']	trumpia	lt	0.87890625	briefly
14496	ProsperWorks	['ProsperWorks']	prosperworks	en	0.674418628216	prosperworks
