product_id	product_name	original pattern	token and separated token	detected_language	confidence_score	translated_language 
14853	Cellular Dynamics International	['"Cellular Dynamics International"']	international	en	0.903100788593	international
14852	GenomOncology	['GenomOncology']	genomoncology	lt	1	genomoncology
14918	TigerView PACS	['"TigerView PACS"']	pacs	ca	0.44921875	PACS
14850	Kura Oncology	['"Kura Oncology"', 'Kura Oncology']	oncology	en	1	oncology
14857	Authoritas	['AnalyticsSEO', 'Authoritas']	authoritas	la	1	authority
14856	Vuture	['Vuture']	vuture	co	0.999998748302	vuture
14855	Genomind	['"Genomind testing"', '"GenoMind Genecept"', '"genomind tests"']	tests	en	0.859375	tests
14854	Kailos Genetics	['Kailos']	kailos	hi	1	Kailos
14912	ProjectManager.com	['"ProjectManager.com"']	com	pt	0.86770427227	with
14913	Paymo	['Paymo project']	project	en	0.96875	project
14859	CognitiveSEO	['CognitiveSEO']	cognitiveseo	en	0.744186043739	cognitiveseo
14858	Brightlocal	['Brightlocal']	brightlocal	en	1	brightlocal
14916	F5 BIG-IP	['"Big IP"', 'BigIP']	bigip	ku	0.641179800034	Big
14917	YesPath	['YesPath']	yespath	en	0.99954777956	yespath
14914	Glasscubes	['Glasscubes']	glasscubes	de	0.828125	Glasscubes
14915	Picatic	['Picatic']	picatic	en	1	picatic
15393	Cormant-CS	['"Cormant CS"', 'Cablesolve', 'Cormant DCIM']	dcim	en	1	dcim
14919	TicketLeap	['TicketLeap']	ticketleap	en	0.894941627979	ticketleap
15027	Webgility	['Webgility']	webgility	eu	1	webgility
15392	CommScope iTRACS	['iTRACS']	itracs	ca	0.591478645802	itracs
15189	Fortinet FortiCloud	['FortiCloud']	forticloud	en	0.9296875	forticloud
14981	Redis	['Redis "open source"', 'Redis cluster']	cluster	en	0.853174626827	cluster
14980	Averetek	['Averetek']	averetek	en	0.9296875	averetek
14983	Revenew	['Revenew']	revenew	fr	0.83984375	Revenew
14982	Pica9	['Pica9']	pica	pt	0.470588237047	Sting
14985	ImpactRadius	['ImpactRadius']	impactradius	en	0.78125	impactradius
14984	iDevAffiliate	['iDevAffiliate']	idevaffiliate	it	1	Idevaffiliate
14987	LeadDyno	['LeadDyno']	leaddyno	cy	0.999973535538	leaddyno
14986	Jrox	['Jrox']	jrox	mt	0.999996125698	jrox
14989	Omnistar	['Omnistar']	omnistar	en	0.711026608944	omnistar
14988	NetRefer	['NetRefer']	netrefer	cs	1	Netrefer
14678	Digital Turbine	['"Digital Turbine" marketing']	marketing	en	0.686046540737	marketing
15209	TippingPoint S5100N	['S5100N']	s n	en	0.141875118017	s n
15208	TippingPoint S6100N	['S6100N']	s n	en	0.141875118017	s n
11858	SearchDex	['Altruik']	altruik	it	0.4609375	Altruik
13163	Oracle Sales Cloud	['Oracle "CX Sales"']	sales	en	0.98828125	sales
11853	ReachLocal	['ReachLocal']	reachlocal	ga	1	ReachLocal
14910	TimeCamp	['TimeCamp']	timecamp	en	1	timecamp
14911	TargetProcess	['TargetProcess']	targetprocess	en	0.918287932873	targetprocess
15315	RateLinx	['RateLinx']	ratelinx	lt	1	ratelinx
6796	CA Disk Backup and Restore	['"CA DISK"']	disk	en	0.669260680676	disk
15198	Fortinet FortiWAN	['FortiWAN']	fortiwan	el	1	Fortiwan
15314	GlobalTranz	['GlobalTranz']	globaltranz	en	0.694117665291	globaltranz
299	MAGIQUE	['MAGIQUE GRC', 'MAGIQUE risk', 'Magique Galileo']	galileo	en	0.515748023987	galileo
15256	Untangle	['Cymphonix', 'Untangle Firewall']	firewall	en	0.702702701092	firewall
6984	PM Digital	['Paradysz', '"PM Digital" SEO', '"PM Digital" SEM']	sem	is	0.465116292238	the
15368	Netwrix Auditor	['"Change Reporter Suite"', 'Netwrix Auditor']	auditor	en	0.741176486015	auditor
15108	Philips Vereos	['Vereos']	vereos	eo	0.555349051952	vereos
15109	Medtronic O-Arm	['Medtronic "O-Arm"']	arm	en	0.852713167667	arm
15106	Neusoft Medical Systems	['"Neusoft Medical"', 'NeuViz']	neuviz	ru	0.624999463558	Neuviz
15107	GE Revolution	['"GE Revolution"']	revolution	en	0.8984375	revolution
15104	GE Signa Excite	['Signa Excite']	excite	en	0.78125	excite
15105	MSC Adams	['MSC Adams']	adams	en	0.864341080189	adams
15102	Siemens Avanto	['Magnetom Avanto', 'Siemens Avanto']	siemens	en	0.421875	siemens
15103	Siemens Essenza	['MAGNETOM Essenza', 'Siemens Essenza']	siemens	en	0.421875	siemens
15100	Open Hospitality	['"Open Hospitality" hotel*']	hotel	en	0.62109375	hotel
15101	TravelClick	['TravelClick', 'iHotelier']	ihotelier	en	1	ihotelier
11549	MIC Customs Solutions	['"MIC GRC"']	grc	ga	0.80078125	grc
14758	Boardvantage	['MeetX', 'Boardvantage']	boardvantage	en	1	boardvantage
14759	Comindwork	['Comindwork']	comindwork	en	0.822415173054	comindwork
15257	Bitglass	['Bitglass']	bitglass	lb	0.731022238731	bitglass
14754	HireMojo	['HireMojo']	hiremojo	ja	0.999997317791	Hiremojo
14755	Talemetry	['Talemetry']	talemetry	no	1	Speech metric
14756	Airtable	['Airtable']	airtable	ga	0.994939029217	airtable
14757	Azendoo	['Azendoo']	azendoo	pt	1	Azendoo
14750	Visualsoft	['Visualsoft eCommerce']	ecommerce	en	0.807086586952	ecommerce
14751	BetterWorks	['BetterWorks']	betterworks	en	1	betterworks
14752	EchoSpan	['EchoSpan']	echospan	es	0.536238014698	I like it
14753	HireHive	['HireHive']	hirehive	mg	0.51953125	hirehive
15369	Embarcadero Delphi	['Embarcadero Delphi', '"borland delphi"']	borland	en	0.859375	borland
15205	Fortinet FortiGate 3600	['"FortiGate 3600"']	fortigate	en	1	fortigate
15204	Fortinet FortiGate 3000	['"FortiGate 3000"']	fortigate	en	1	fortigate
15207	Fortinet FortiGate 800	['"FortiGate 800"']	fortigate	en	1	fortigate
13861	VCE VxRail	['VXRAIL']	vxrail	el	0.983602166176	Vxrail
14867	Rankwatch	['Rankwatch']	rankwatch	ha	0.652741491795	rankwatch
15206	Fortinet FortiGate 1000	['"FortiGate 1000"']	fortigate	en	1	fortigate
12521	PROS	['"Smart CPQ"']	cpq	bg	0.926675736904	Cpq
15200	Fortinet FortiSandbox	['FortiSandbox']	fortisandbox	it	0.405405402184	Fortisandbox
15038	CA API Gateway	['"CA API Gateway"']	gateway	en	0.836575865746	gateway
12243	Personyze	['Personyze']	personyze	en	0.433070868254	personyze
15203	Fortinet FortiGate 300	['"FortiGate 300"']	fortigate	en	1	fortigate
15032	Lead411	['Lead411']	lead	en	1	lead
15033	Melissa Data	['"Melissa Data"', 'MelissaData']	melissadata	en	0.5521235466	melissadata
15030	CrowdFlower	['CrowdFlower']	crowdflower	de	0.233201578259	Crowdflower
15031	DataFox	['DataFox']	datafox	pt	0.805447459221	Datafox
15036	Lanyon	['"Lanyon tools"', '"lanyon software"', '"Lanyon application"', '"through Lanyon"', 'Lanyon event']	event	en	0.956692934036	event
15037	CA API Developer Portal	['CA "API Developer Portal"']	portal	en	0.3501945436	portal
15034	Pegasus Solutions	['"through Pegasus Solutions"', '"Pegasus Solutions" hotel']	hotel	en	0.62109375	hotel
15035	EventsAir	['EventsAir']	eventsair	en	0.98046875	eventsair
9418	Kalio	['"Kalio Mail"']	mail	en	0.44140625	mail
11942	StackPath	['StackPath']	stackpath	en	1	stackpath
15249	Spok	['Spok hospital']	hospital	en	0.778210103512	hospital
15248	TigerText	['TigerText']	tigertext	en	1	tigertext
15324	ShipGear	['ShipGear']	shipgear	fy	0.999977171421	shipgear
15130	MOZ SEO	['"MOZ SEO"', 'SEOMoz', '"SEO Moz"']	seo moz	en	0.131438910961	seo moz
15322	Temando	['Temando']	temando	id	0.94140625	Temando
15323	Pacejet	['Pacejet']	pacejet	sq	0.844848453999	Pace
15320	Teapplix	['Teapplix']	teapplix	fy	0.996944904327	teapplix
15321	Logicor	['Logicor', 'GlobalShip Freight', 'Pfastship']	pfastship	xh	0.54113972187	pfastship
15247	HPE StormRunner	['StormRunner']	stormrunner	en	0.436293423176	stormrunner
15329	Dell DL4300	['Dell DL4300', 'Dl4300 AppAssure']	appassure	it	1	For sure
12232	Zencoder	['Zencoder']	zencoder	lb	0.545321524143	zencoder
12334	MouseFlow	['MouseFlow']	mouseflow	en	1	mouseflow
12336	Navegg	['Navegg']	navegg	ca	0.981268882751	navegg
14963	PeopleMetrics	['PeopleMetrics']	peoplemetrics	en	1	peoplemetrics
14962	Optimove	['Optimove']	optimove	fi	0.463320463896	Optimizes
14960	ThoughtSpot	['ThoughtSpot']	thoughtspot	en	1	thoughtspot
14967	Skilljar	['Skilljar']	skilljar	is	1	SKILLS
14966	ServiceRocket	['ServiceRocket']	servicerocket	en	0.73828125	servicerocket
14789	Acrolinx	['Acrolinx']	acrolinx	mt	0.635449886322	acrolinx
14788	Wagtail CMS	['Wagtail Django', 'Wagtail CMS']	cms	en	0.408560305834	cms
14787	Umbraco	['"with Umbraco"']	umbraco	da	0.450980395079	Umbraco
14786	SilverStripe	['SilverStripe CMS', 'Silverstripe PHP']	php	en	0.62109375	php
14785	Quadrigram	['Quadrigram']	quadrigram	pt	0.474308311939	Quadrigram
14784	Pimcore	['Pimcore']	pimcore	gd	0.447498708963	pimcore
14783	LAKANA	['LAKANA']	lakana	fi	0.921875	sheet
14782	Craft CMS	['"Craft CMS"', 'CraftCMS']	craftcms	en	1	craftcms
14781	Contentserv	['Contentserv']	contentserv	en	0.696498036385	contentserv
14780	cmScribe	['cmScribe']	cmscribe	en	0.492237776518	cmscribe
15212	Juniper Networks ISG 2000	['"ISG 2000"', 'ISG2000']	isg	gd	1	ater
14148	Firespring	['Firespring marketing']	marketing	en	0.686046540737	marketing
15331	MultiView	['MultiView', 'MultiView B2B', 'MultiView marketing']	marketing	en	0.686046540737	marketing
14010	SUBNET Solutions	['"SUBNET Solutions"']	solutions	en	0.87890625	solutions
15330	Dell DL1000	['AppAssure DL1000', 'Dell DL1000']	dell	en	0.4296875	dell
9186	Open Systems, Inc	['"Open Systems" Traverse']	traverse	en	0.580769240856	traverse
5225	LANDesk Mobility Manager	['"Landesk MDM"']	mdm	en	0.6015625	mdm
15213	Juniper Networks ISG 1000	['"ISG 1000"', '"ISG1000"']	isg	gd	1	ater
14817	Image Relay	['"ImageRelay"', '"Image Relay" Digital']	digital	en	0.78125	digital
14816	FotoWare	['FotoWare']	fotoware	en	1	fotoware
14815	Daminion	['Daminion']	daminion	hi	0.87890625	Daminion
14814	CleanPix	['CleanPix']	cleanpix	en	1	cleanpix
14813	Chuckwalla	['Chuckwalla digital']	digital	en	0.78125	digital
14812	Brandworkz	['Brandworkz']	brandworkz	nl	0.98046875	Brandworkz
14811	Adgistics	['Adgistics']	adgistics	da	0.974103569984	Adgistics
14810	Zerys	['Zerys']	zerys	lb	0.335440784693	zerys
14819	Papirfly	['Papirfly']	papirfly	no	0.51171875	Paper fly
14818	MerlinOne	['MerlinOne']	merlinone	en	0.513513505459	merlinone
15142	Datapine	['Datapine']	datapine	en	1	datapine
15143	DBxtra	['DBxtra']	dbxtra	gl	0.782222807407	DBxtra
15140	Dapresy	['Dapresy']	dapresy	mg	0.905306458473	dapresy
15141	DashThis	['DashThis']	dashthis	hi	1	Dashthis
15146	Gephi	['Gephi']	gephi	zu	0.834366858006	gephi
15147	JReport	['JReport']	jreport	mt	0.999995112419	jreport
15144	Exago	['Exago']	exago	el	0.546342611313	Exago
15145	GeckoBoard	['GeckoBoard']	geckoboard	tr	0.530086874962	GeckoBoard
15339	Kewill Clippership	['Clippership shipping', 'Kewill Clippership']	kewill	en	1	kewill
15148	Klipfolio	['Klipfolio']	klipfolio	af	0.671875	stone folio
15149	Leftronic	['Leftronic']	leftronic	en	0.992943286896	leftronic
15338	DigitalShipper	['DigitalShipper']	digitalshipper	en	0.580392181873	digitalshipper
12055	FastSpring	['FastSpring']	fastspring	sv	0.7890625	Fastening
15361	Altify	['Altify']	altify	mg	0.988304376602	altify
11404	Trust Guard	['Verified Seal']	seal	en	0.6484375	seal
10931	Sovos	['Sovos', 'Invoiceware', 'ShipCompliant']	shipcompliant	en	0.821705400944	shipcompliant
1278	IBM Tivoli Access Manager	['"IBM TAM"']	tam	ar	0.247104242444	Tam
15065	SentinelOne	['SentinelOne']	sentinelone	en	0.433070868254	sentinelone
142	NetSuite	['"Netsuite admin"', '"NetSuite Coordinator"', '"within NetSuite"', '"NetSuite Reports"', '"NetSuite Specialist"', '"track your accounts in NetSuite"', '"Knowledge of NetSuite and Tableau a plus"', '"Magento, Drupal Commerce, and NetSuite"', '"Familiarity with Netsuite accounting"', '"NetSuite savvy"', '"netsuite administrator"', '"netsuite database"', '"Netsuite OneWorld implementation"', '"NetSuite SuiteScript experience"', '"understanding of NetSuite"']	understanding	en	1	understanding
15064	Cylance	['"Cylance Protect"', '"cylance antivirus"', 'Cylance security']	security	en	0.98828125	security
15308	HostBill	['HostBill']	hostbill	lb	0.674388229847	HostBill
15309	EchoTrak	['EchoTrak']	echotrak	en	1	echotrak
14765	Appmakr	['Appmakr']	appmakr	mt	1	appmakr
14764	appFigures	['appFigures']	appfigures	en	0.943964183331	appfigures
14767	AppsBar	['AppsBar']	appsbar	en	0.94140625	appsbar
14766	Appoxee	['Appoxee']	appoxee	fr	0.287746012211	Appoxee
14761	Wizeline	['Wizeline']	wizeline	fy	0.880380153656	wizeline
14760	Zenyx	['Zenyx']	zenyx	sw	0.898601353168	zenyx
14763	AppBlade	['AppBlade']	appblade	sv	0.722662508488	Apple leaves
14762	Roadmunk	['Roadmunk']	roadmunk	hu	0.78031951189	road work
14769	GoodBarber	['GoodBarber']	goodbarber	vi	0.73828125	Goodbarber
14768	Apptimize	['Apptimize']	apptimize	ht	0.789576172829	apptimize
15304	LRS Enterprise Output Management	['LRS "Enterprise Output Management"', 'Levi "Enterprise Output Management"']	levi	en	0.359375	levi
15354	SeniorSystems	['SeniorSystems school']	school	en	0.945098042488	school
15305	WHMCS	['WHMCS']	whmcs	en	0.981766164303	whmcs
15306	Blesta	['Blesta']	blesta	is	0.970891237259	Bless
15307	Clientexec	['Clientexec']	clientexec	en	0.436293423176	clientexec
15351	Rediker SIS	['Rediker SIS']	sis	en	0.251968502998	sis
15069	App Annie	['"App Annie"', 'AppAnnie']	appannie	it	1	Appannie
15350	Infinite Campus	['"Infinite Campus"']	campus	en	0.758754849434	campus
15068	ThinkVine	['ThinkVine']	thinkvine	en	0.75	thinkvine
8987	CrashPlan	['Code42']	code	en	0.80078125	code
15289	IBM Counter Fraud	['IBM "Counter Fraud"']	fraud	en	1	fraud
9169	Gigamon	['"Leverage Gigamon"', '"Gigamon Devices"']	devices	en	1	devices
15285	Thomson World-Check	['"World-Check"']	check	en	1	check
15284	Patriot Officer	['Global "Patriot Officer"', '"Guardian Officer"']	guardian	en	0.921875	guardian
15287	Pneuron	['Pneuron']	pneuron	ca	0.609528243542	pneuron
15286	Thomson Org ID	['Thomson "Org ID"', '"Accelus Org ID"']	accelus	la	0.825733006001	Accel
15281	BAE NetReveal	['BAE NetReveal']	netreveal	en	1	netreveal
15280	BAE Norkom	['BAE Norkom']	norkom	en	1	norkom
15283	Oracle Financial Services Anti Money Laundering	['"Financial Services Anti Money Laundering" Oracle', 'Oracle Mantas']	mantas	lt	0.401574790478	mantas
15282	BAE Systems Applied Intelligence	['Detica', 'BAE "Systems Applied Intelligence"', '"BAE Systems Applied Intelligence"', '"detica products"']	products	en	1	products
15043	Social123	['Social123']	social	en	0.66409265995	social
15042	SimilarWeb	['SimilarWeb']	similarweb	en	0.83011585474	similarweb
15041	Salesgenie	['Salesgenie']	salesgenie	en	1	salesgenie
15040	Rival IQ	['RivalIQ', '"Rival IQ"']	iq	en	0.69921875	iq
15047	BrightFunnel	['BrightFunnel']	brightfunnel	en	1	brightfunnel
15046	Bizible	['Bizible']	bizible	ny	0.598082959652	bizible
15045	Allocadia	['Allocadia']	allocadia	en	0.9296875	allocadia
15044	WhatRunsWhere	['WhatRunsWhere']	whatrunswhere	en	1	whatrunswhere
15362	Highspot	['highspot sales']	sales	en	0.98828125	sales
15363	CB Insights	['"CB Insights"', 'CBInsights']	cbinsights	ga	0.814693391323	cbinsights
15049	Datorama	['Datorama']	datorama	ro	0.5390625	Due
15048	Convertro	['Convertro']	convertro	en	0.702702701092	convertro
15366	SAP Adaptive Server Enterprise	['SAP "Adaptive Server Enterprise"', '"SAP ASE"', '"Sybase SQL Server"']	sql	en	0.80078125	sql
15367	Firefly LMS	['Firefly LMS']	lms	en	1	lms
15364	Onvia	['Onvia']	onvia	it	0.283977180719	Happy
15365	Aeries SIS	['Aeries SIS']	sis	en	0.251968502998	sis
12177	ActiveConversion	['"ActiveConversion"']	activeconversion	en	0.821705400944	activeconversion
15359	CustomShow	['CustomShow']	customshow	en	1	customshow
15358	Outreach.io	['"Outreach.io"']	io	it	0.823529422283	I
9063	GiddyUp	['GiddyUp CRM']	crm	en	0.8203125	crm
